============================================================== BACKTESTING REPORT ==============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Win  Draw  Loss  Win% |
|   WAVES/USDT |        36 |           0.08 |           2.91 |            29.031 |           0.29 |         12:59:00 |    24     0    12  66.7 |
|     CVX/USDT |         7 |           0.31 |           2.15 |            21.284 |           0.21 |         12:19:00 |     5     0     2  71.4 |
|     BEL/USDT |        10 |           0.21 |           2.09 |            20.899 |           0.21 |         13:10:00 |     7     0     3  70.0 |
|     ONT/USDT |         1 |           2.03 |           2.03 |            20.310 |           0.20 |  1 day, 21:50:00 |     1     0     0   100 |
|     ONE/USDT |         1 |           2.00 |           2.00 |            20.000 |           0.20 |          0:05:00 |     1     0     0   100 |
|    AVAX/USDT |         4 |           0.49 |           1.95 |            19.957 |           0.20 |         10:41:00 |     3     0     1  75.0 |
|     OMG/USDT |         1 |           2.00 |           2.00 |            19.947 |           0.20 |         13:20:00 |     1     0     0   100 |
|     ZRX/USDT |         1 |           1.96 |           1.96 |            19.604 |           0.20 |          4:30:00 |     1     0     0   100 |
|     CHR/USDT |         4 |           0.49 |           1.96 |            19.598 |           0.20 |         22:49:00 |     3     0     1  75.0 |
|     MTL/USDT |         7 |           0.28 |           1.95 |            19.465 |           0.19 |          7:59:00 |     5     0     2  71.4 |
|      AR/USDT |        19 |           0.09 |           1.76 |            17.672 |           0.18 |          5:52:00 |    13     0     6  68.4 |
|    STMX/USDT |         4 |           0.43 |           1.72 |            17.181 |           0.17 |         10:30:00 |     3     0     1  75.0 |
|     ADA/USDT |        16 |           0.10 |           1.67 |            16.750 |           0.17 |         12:53:00 |    11     0     5  68.8 |
|     STG/USDT |        16 |           0.10 |           1.58 |            15.774 |           0.16 |          9:17:00 |    11     0     5  68.8 |
|    LINA/USDT |         7 |           0.06 |           0.44 |             4.425 |           0.04 |         10:57:00 |     5     0     2  71.4 |
|   ALICE/USDT |         3 |           0.01 |           0.04 |             0.398 |           0.00 |          8:25:00 |     2     0     1  66.7 |
|    IOST/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |             0:00 |     0     0     0     0 |
|     ICX/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |             0:00 |     0     0     0     0 |
|    DEFI/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |             0:00 |     0     0     0     0 |
|   AUDIO/USDT |         3 |          -0.01 |          -0.03 |            -0.279 |          -0.00 |         13:22:00 |     2     0     1  66.7 |
|     BLZ/USDT |         3 |          -0.01 |          -0.03 |            -0.298 |          -0.00 |          7:43:00 |     2     0     1  66.7 |
|    MANA/USDT |         3 |          -0.03 |          -0.09 |            -0.918 |          -0.01 |   1 day, 3:08:00 |     2     0     1  66.7 |
|     DAR/USDT |         3 |          -0.03 |          -0.10 |            -0.986 |          -0.01 |          4:05:00 |     2     0     1  66.7 |
|     XMR/USDT |        12 |          -0.01 |          -0.10 |            -1.000 |          -0.01 |         14:14:00 |     8     0     4  66.7 |
|    KAVA/USDT |         9 |          -0.01 |          -0.11 |            -1.122 |          -0.01 |          7:00:00 |     6     0     3  66.7 |
|     GTC/USDT |         9 |          -0.02 |          -0.14 |            -1.367 |          -0.01 |          3:24:00 |     6     0     3  66.7 |
|     RSR/USDT |        15 |          -0.01 |          -0.21 |            -2.077 |          -0.02 |          5:33:00 |    10     0     5  66.7 |
|     RLC/USDT |         9 |          -0.09 |          -0.85 |            -8.537 |          -0.09 |          6:03:00 |     6     0     3  66.7 |
|   1INCH/USDT |        12 |          -0.14 |          -1.71 |           -17.046 |          -0.17 |         11:45:00 |     8     0     4  66.7 |
|     DGB/USDT |         2 |          -0.96 |          -1.93 |           -19.289 |          -0.19 |          7:50:00 |     1     0     1  50.0 |
|     SXP/USDT |         2 |          -1.00 |          -2.00 |           -20.017 |          -0.20 | 2 days, 23:42:00 |     1     0     1  50.0 |
|     C98/USDT |         5 |          -0.40 |          -2.02 |           -20.147 |          -0.20 |          6:30:00 |     3     0     2  60.0 |
|     BAL/USDT |         8 |          -0.25 |          -2.04 |           -20.354 |          -0.20 |         16:42:00 |     5     0     3  62.5 |
|     ZEN/USDT |         2 |          -1.02 |          -2.04 |           -20.383 |          -0.20 |          3:02:00 |     1     0     1  50.0 |
|     NEO/USDT |         2 |          -1.04 |          -2.07 |           -20.722 |          -0.21 |   1 day, 7:02:00 |     1     0     1  50.0 |
|     NKN/USDT |         5 |          -0.42 |          -2.09 |           -20.867 |          -0.21 |          3:12:00 |     3     0     2  60.0 |
|    BAKE/USDT |         2 |          -1.04 |          -2.09 |           -20.873 |          -0.21 |         15:10:00 |     1     0     1  50.0 |
|     OGN/USDT |         5 |          -0.42 |          -2.10 |           -20.954 |          -0.21 |          2:34:00 |     3     0     2  60.0 |
|    TOMO/USDT |         5 |          -0.42 |          -2.11 |           -21.074 |          -0.21 |          3:14:00 |     3     0     2  60.0 |
|     REN/USDT |         8 |          -0.27 |          -2.15 |           -21.500 |          -0.22 |          2:28:00 |     5     0     3  62.5 |
|    BAND/USDT |        11 |          -0.20 |          -2.15 |           -21.526 |          -0.22 |          2:00:00 |     7     0     4  63.6 |
|     BNX/USDT |        20 |          -0.11 |          -2.29 |           -21.539 |          -0.22 |  1 day, 19:33:00 |    13     0     7  65.0 |
|    FLOW/USDT |         5 |          -0.44 |          -2.19 |           -21.862 |          -0.22 |          9:52:00 |     3     0     2  60.0 |
|    LINK/USDT |        20 |          -0.11 |          -2.27 |           -22.650 |          -0.23 |          9:35:00 |    13     0     7  65.0 |
