============================================================== BACKTESTING REPORT ==============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Win  Draw  Loss  Win% |
|     ONT/USDT |         2 |           2.02 |           4.03 |            40.310 |           0.40 |         22:55:00 |     2     0     0   100 |
|     C98/USDT |         8 |           0.50 |           4.01 |            40.126 |           0.40 |          6:16:00 |     6     0     2  75.0 |
|     EOS/USDT |        11 |           0.36 |           3.98 |            39.724 |           0.40 |         23:35:00 |     8     0     3  72.7 |
|     ZEN/USDT |         5 |           0.79 |           3.95 |            39.501 |           0.40 |          2:01:00 |     4     0     1  80.0 |
|    AAVE/USDT |         5 |           0.79 |           3.95 |            39.273 |           0.39 |          3:32:00 |     4     0     1  80.0 |
|   MATIC/USDT |        11 |           0.36 |           3.91 |            39.084 |           0.39 |          9:05:00 |     8     0     3  72.7 |
|     ATA/USDT |        17 |           0.22 |           3.81 |            38.041 |           0.38 |          3:27:00 |    12     0     5  70.6 |
|     RLC/USDT |        14 |           0.22 |           3.08 |            30.826 |           0.31 |          6:11:00 |    10     0     4  71.4 |
|    LINA/USDT |        14 |           0.18 |           2.57 |            25.676 |           0.26 |          9:12:00 |    10     0     4  71.4 |
|   ALICE/USDT |         7 |           0.29 |           2.01 |            20.103 |           0.20 |         12:57:00 |     5     0     2  71.4 |
| 1000XEC/USDT |         7 |           0.29 |           2.00 |            20.023 |           0.20 |   1 day, 0:10:00 |     5     0     2  71.4 |
|     AXS/USDT |         7 |           0.29 |           2.00 |            19.817 |           0.20 |         15:56:00 |     5     0     2  71.4 |
|     GRT/USDT |         7 |           0.28 |           1.97 |            19.728 |           0.20 |         15:29:00 |     5     0     2  71.4 |
|   STORJ/USDT |         4 |           0.49 |           1.95 |            19.472 |           0.19 |         10:22:00 |     3     0     1  75.0 |
|     DAR/USDT |         4 |           0.48 |           1.91 |            19.114 |           0.19 |          4:08:00 |     3     0     1  75.0 |
|    KAVA/USDT |        13 |           0.14 |           1.87 |            18.704 |           0.19 |          3:02:00 |     9     0     4  69.2 |
|     XMR/USDT |        16 |           0.12 |           1.86 |            18.579 |           0.19 |         20:35:00 |    11     0     5  68.8 |
|   SPELL/USDT |        13 |           0.14 |           1.84 |            18.371 |           0.18 |          4:52:00 |     9     0     4  69.2 |
|     FTM/USDT |        10 |           0.18 |           1.83 |            18.244 |           0.18 |          1:48:00 |     7     0     3  70.0 |
|     ICP/USDT |        10 |           0.18 |           1.79 |            18.066 |           0.18 |         10:12:00 |     7     0     3  70.0 |
|     DOT/USDT |        10 |           0.17 |           1.72 |            17.131 |           0.17 |         11:08:00 |     7     0     3  70.0 |
|   WAVES/USDT |        16 |           0.10 |           1.59 |            15.907 |           0.16 |         16:42:00 |    11     0     5  68.8 |
|  BTCDOM/USDT |         7 |           0.17 |           1.20 |            12.089 |           0.12 | 4 days, 13:24:00 |     5     0     2  71.4 |
|     NEO/USDT |         4 |           0.26 |           1.05 |            10.505 |           0.11 |         13:22:00 |     3     0     1  75.0 |
|     ONE/USDT |         1 |           0.99 |           0.99 |             9.892 |           0.10 |          8:45:00 |     1     0     0   100 |
|    AVAX/USDT |         9 |           0.01 |           0.08 |             1.737 |           0.02 |         14:54:00 |     6     0     3  66.7 |
|     SFP/USDT |        19 |          -0.00 |          -0.02 |            -0.162 |          -0.00 |          5:37:00 |    13     0     6  68.4 |
|    DENT/USDT |         3 |          -0.01 |          -0.04 |            -0.404 |          -0.00 |          1:20:00 |     2     0     1  66.7 |
|     ZIL/USDT |         9 |          -0.01 |          -0.07 |            -0.722 |          -0.01 |         18:48:00 |     6     0     3  66.7 |
|    ANKR/USDT |         6 |          -0.02 |          -0.09 |            -0.891 |          -0.01 |          8:07:00 |     4     0     2  66.7 |
|     GTC/USDT |         9 |          -0.01 |          -0.10 |            -0.962 |          -0.01 |          0:26:00 |     6     0     3  66.7 |
|    IOTA/USDT |         9 |          -0.01 |          -0.11 |            -1.105 |          -0.01 |         15:00:00 |     6     0     3  66.7 |
|     RSR/USDT |        12 |          -0.01 |          -0.15 |            -1.491 |          -0.01 |          5:23:00 |     8     0     4  66.7 |
|    TOMO/USDT |         9 |          -0.02 |          -0.15 |            -1.551 |          -0.02 |          3:18:00 |     6     0     3  66.7 |
|    HBAR/USDT |        12 |          -0.01 |          -0.17 |            -1.672 |          -0.02 |          9:57:00 |     8     0     4  66.7 |
|   THETA/USDT |         9 |          -0.02 |          -0.18 |            -1.882 |          -0.02 |         14:44:00 |     6     0     3  66.7 |
|    DASH/USDT |        12 |          -0.02 |          -0.22 |            -2.176 |          -0.02 |         13:00:00 |     8     0     4  66.7 |
|     ETC/USDT |        12 |          -0.02 |          -0.23 |            -2.258 |          -0.02 |          2:50:00 |     8     0     4  66.7 |
|     VET/USDT |         8 |          -0.26 |          -2.07 |           -20.751 |          -0.21 |          4:41:00 |     5     0     3  62.5 |
|     ICX/USDT |         5 |          -0.42 |          -2.10 |           -21.038 |          -0.21 |          7:59:00 |     3     0     2  60.0 |
|   JASMY/USDT |        14 |          -0.15 |          -2.11 |           -21.129 |          -0.21 |          5:31:00 |     9     0     5  64.3 |
|     BAL/USDT |        11 |          -0.19 |          -2.12 |           -21.200 |          -0.21 |          9:21:00 |     7     0     4  63.6 |
|     ENS/USDT |        11 |          -0.20 |          -2.16 |           -21.566 |          -0.22 |          6:51:00 |     7     0     4  63.6 |
|     APE/USDT |        14 |          -0.15 |          -2.17 |           -21.578 |          -0.22 |          4:33:00 |     9     0     5  64.3 |
|     KSM/USDT |         8 |          -0.27 |          -2.15 |           -21.579 |          -0.22 |          8:35:00 |     5     0     3  62.5 |
|    LINK/USDT |        11 |          -0.20 |          -2.17 |           -21.640 |          -0.22 |          8:57:00 |     7     0     4  63.6 |
|     UNI/USDT |        11 |          -0.20 |          -2.20 |           -21.730 |          -0.22 |         13:00:00 |     7     0     4  63.6 |
|     ADA/USDT |        11 |          -0.20 |          -2.18 |           -21.866 |          -0.22 |          6:57:00 |     7     0     4  63.6 |
|     NKN/USDT |        14 |          -0.16 |          -2.23 |           -22.258 |          -0.22 |         10:06:00 |     9     0     5  64.3 |
|     IMX/USDT |         8 |          -0.30 |          -2.41 |           -24.072 |          -0.24 |          4:39:00 |     5     0     3  62.5 |
|     LIT/USDT |        17 |          -0.14 |          -2.44 |           -24.332 |          -0.24 |          3:12:00 |    11     0     6  64.7 |
|    ROSE/USDT |         4 |          -1.01 |          -4.05 |           -40.573 |          -0.41 |          0:42:00 |     2     0     2  50.0 |
|      AR/USDT |        13 |          -0.32 |          -4.16 |           -41.630 |          -0.42 |          5:49:00 |     8     0     5  61.5 |
|     OMG/USDT |         7 |          -0.60 |          -4.19 |           -41.848 |          -0.42 |         20:02:00 |     4     0     3  57.1 |
|     MKR/USDT |        25 |          -0.17 |          -4.23 |           -42.262 |          -0.42 |         10:26:00 |    16     0     9  64.0 |
|    COTI/USDT |        13 |          -0.33 |          -4.23 |           -42.278 |          -0.42 |          7:43:00 |     8     0     5  61.5 |
|     HNT/USDT |        16 |          -0.27 |          -4.26 |           -42.528 |          -0.43 |          8:07:00 |    10     0     6  62.5 |
|    FLOW/USDT |        10 |          -0.43 |          -4.27 |           -42.651 |          -0.43 |         10:37:00 |     6     0     4  60.0 |
|     ANT/USDT |        10 |          -0.43 |          -4.31 |           -43.102 |          -0.43 |          5:58:00 |     6     0     4  60.0 |
|     OGN/USDT |        13 |          -0.44 |          -5.69 |           -56.878 |          -0.57 |          8:50:00 |     8     0     5  61.5 |
|     ENJ/USDT |         6 |          -1.02 |          -6.10 |           -60.988 |          -0.61 |          3:33:00 |     3     0     3  50.0 |
|    UNFI/USDT |         9 |          -0.69 |          -6.22 |           -62.185 |          -0.62 |          5:57:00 |     5     0     4  55.6 |
|    KLAY/USDT |        15 |          -0.42 |          -6.32 |           -63.158 |          -0.63 |          6:24:00 |     9     0     6  60.0 |
|    MASK/USDT |        12 |          -0.54 |          -6.43 |           -64.129 |          -0.64 |          2:12:00 |     7     0     5  58.3 |
|    QTUM/USDT |         2 |          -4.02 |          -8.05 |           -80.469 |          -0.80 |          6:32:00 |     0     0     2     0 |
|     DGB/USDT |         5 |          -1.62 |          -8.08 |           -80.778 |          -0.81 |         15:28:00 |     2     0     3  40.0 |
|     BLZ/USDT |         8 |          -1.01 |          -8.11 |           -81.135 |          -0.81 |          4:48:00 |     4     0     4  50.0 |
|    CELR/USDT |         5 |          -1.63 |          -8.13 |           -81.276 |          -0.81 |          4:56:00 |     2     0     3  40.0 |
|     LRC/USDT |         5 |          -1.63 |          -8.17 |           -81.633 |          -0.82 |          1:56:00 |     2     0     3  40.0 |
|    API3/USDT |         5 |          -1.64 |          -8.20 |           -82.035 |          -0.82 |         22:08:00 |     2     0     3  40.0 |
|     ETH/USDT |        20 |          -0.42 |          -8.34 |           -83.329 |          -0.83 |         14:18:00 |    12     0     8  60.0 |
|     BNX/USDT |        19 |          -0.55 |         -10.47 |          -102.309 |          -1.02 |  1 day, 18:12:00 |    11     0     8  57.9 |
|     CRV/USDT |        13 |          -0.82 |         -10.60 |          -106.009 |          -1.06 |          8:06:00 |     7     0     6  53.8 |
|   1INCH/USDT |        13 |          -0.91 |         -11.88 |          -118.750 |          -1.19 |         12:19:00 |     7     0     6  53.8 |
|    BAKE/USDT |         6 |          -2.01 |         -12.07 |          -120.714 |          -1.21 |          4:21:00 |     2     0     4  33.3 |
|     FIL/USDT |         9 |          -1.38 |         -12.38 |          -123.795 |          -1.24 |         22:39:00 |     4     0     5  44.4 |
|     TRB/USDT |        16 |          -0.78 |         -12.48 |          -124.700 |          -1.25 |          7:45:00 |     8     0     8  50.0 |
|    CELO/USDT |        11 |          -1.30 |         -14.34 |          -143.421 |          -1.43 |          9:56:00 |     5     0     6  45.5 |
|     SOL/USDT |        19 |          -0.86 |         -16.36 |          -160.667 |          -1.61 |          3:06:00 |    10     0     9  52.6 |
|    DYDX/USDT |        22 |          -0.73 |         -16.10 |          -160.967 |          -1.61 |          4:30:00 |    12     0    10  54.5 |
|     BCH/USDT |        13 |          -1.26 |         -16.42 |          -164.206 |          -1.64 |         11:25:00 |     6     0     7  46.2 |
|     WOO/USDT |        19 |          -0.87 |         -16.60 |          -165.987 |          -1.66 |          5:46:00 |    10     0     9  52.6 |
|     XRP/USDT |        21 |          -0.88 |         -18.42 |          -184.142 |          -1.84 |          9:08:00 |    11     0    10  52.4 |
|     MTL/USDT |        11 |          -1.84 |         -20.20 |          -201.887 |          -2.02 |         13:57:00 |     4     0     7  36.4 |
|     LTC/USDT |        19 |          -1.18 |         -22.41 |          -224.054 |          -2.24 |          8:59:00 |     9     0    10  47.4 |
|   SUSHI/USDT |        12 |          -2.05 |         -24.55 |          -245.365 |          -2.45 |          6:16:00 |     4     0     8  33.3 |
|        TOTAL |      1471 |           0.19 |         282.34 |          2827.183 |          28.27 |          9:56:00 |  1030     0   441  70.0 |
=========================================================== ENTER TAG STATS ===========================================================
|   TAG |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------+-----------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
| TOTAL |      1471 |           0.19 |         282.34 |          2827.183 |          28.27 |        9:56:00 |  1030     0   441  70.0 |
===================================================== EXIT REASON STATS =====================================================
|   Exit Reason |   Exits |   Win  Draws  Loss  Win% |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|---------------+---------+--------------------------+----------------+----------------+-------------------+----------------|
|           roi |    1025 |   1025     0     0   100 |           2    |        2048.94 |         20475.4   |          14.96 |
|     stop_loss |     435 |      0     0   435     0 |          -4.05 |       -1761.68 |        -17599     |         -12.86 |
|    force_exit |      11 |      5     0     6  45.5 |          -0.45 |          -4.92 |           -49.174 |          -0.04 |
========================================================= LEFT OPEN TRADES REPORT ==========================================================
|       Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|------------+-----------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|   NEO/USDT |         1 |           1.08 |           1.08 |            10.779 |           0.11 |        8:05:00 |     1     0     0   100 |
|   ONE/USDT |         1 |           0.99 |           0.99 |             9.892 |           0.10 |        8:45:00 |     1     0     0   100 |
| 1INCH/USDT |         1 |           0.74 |           0.74 |             7.426 |           0.07 |       23:20:00 |     1     0     0   100 |
|   OGN/USDT |         1 |           0.42 |           0.42 |             4.205 |           0.04 |       15:50:00 |     1     0     0   100 |
|   SFP/USDT |         1 |           0.14 |           0.14 |             1.409 |           0.01 |        2:25:00 |     1     0     0   100 |
|   TRB/USDT |         1 |          -0.04 |          -0.04 |            -0.400 |          -0.00 |        1:05:00 |     0     0     1     0 |
|   CVX/USDT |         1 |          -0.09 |          -0.09 |            -0.874 |          -0.01 |        0:20:00 |     0     0     1     0 |
|   SKL/USDT |         1 |          -0.54 |          -0.54 |            -5.402 |          -0.05 |        0:35:00 |     0     0     1     0 |
|   REN/USDT |         1 |          -2.03 |          -2.03 |           -20.281 |          -0.20 |        6:35:00 |     0     0     1     0 |
|   ZRX/USDT |         1 |          -2.41 |          -2.41 |           -24.116 |          -0.24 |        6:55:00 |     0     0     1     0 |
|   XTZ/USDT |         1 |          -3.18 |          -3.18 |           -31.812 |          -0.32 |        5:30:00 |     0     0     1     0 |
|      TOTAL |        11 |          -0.45 |          -4.92 |           -49.174 |          -0.49 |        7:13:00 |     5     0     6  45.5 |
================== SUMMARY METRICS ==================
| Metric                      | Value               |
|-----------------------------+---------------------|
| Backtesting from            | 2022-10-01 00:00:00 |
| Backtesting to              | 2022-12-01 00:00:00 |
| Max open trades             | 137                 |
|                             |                     |
| Total/Daily Avg Trades      | 1471 / 24.11        |
| Starting balance            | 10000 USDT          |
| Final balance               | 12827.183 USDT      |
| Absolute profit             | 2827.183 USDT       |
| Total profit %              | 28.27%              |
| CAGR %                      | 343.62%             |
| Profit factor               | 1.16                |
| Trades per day              | 24.11               |
| Avg. daily profit %         | 0.46%               |
| Avg. stake amount           | 999.252 USDT        |
| Total trade volume          | 1469900.102 USDT    |
|                             |                     |
| Long / Short                | 631 / 840           |
| Total profit Long %         | 9.01%               |
| Total profit Short %        | 19.26%              |
| Absolute profit Long        | 901.262 USDT        |
