============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|--------------+-----------+----------------+----------------+-------------------+----------------+-----------------+-------------------------|
|     LDO/USDT |        13 |           1.37 |          17.85 |           289.045 |           2.89 |         2:59:00 |    11     0     2  84.6 |
|   WAVES/USDT |        36 |           0.43 |          15.42 |           278.175 |           2.78 |         4:56:00 |    22     0    14  61.1 |
|     INJ/USDT |        27 |           0.50 |          13.47 |           241.319 |           2.41 |         2:07:00 |    17     0    10  63.0 |
|     RSR/USDT |        13 |           0.76 |           9.85 |           191.054 |           1.91 |         3:08:00 |     9     0     4  69.2 |
|     SOL/USDT |        33 |           0.28 |           9.27 |           175.316 |           1.75 |         4:29:00 |    19     0    14  57.6 |
|     BEL/USDT |         8 |           1.00 |           8.03 |           155.014 |           1.55 |         5:36:00 |     6     0     2  75.0 |
|     NKN/USDT |         8 |           0.99 |           7.92 |           150.222 |           1.50 |         5:05:00 |     6     0     2  75.0 |
|     XLM/USDT |         4 |           2.00 |           8.01 |           128.345 |           1.28 |         6:15:00 |     4     0     0   100 |
|    BAND/USDT |         6 |           1.33 |           7.97 |           126.335 |           1.26 |         1:23:00 |     5     0     1  83.3 |
|     KNC/USDT |         8 |           1.00 |           7.96 |           123.348 |           1.23 |         7:02:00 |     6     0     2  75.0 |
|    UNFI/USDT |        12 |           0.65 |           7.82 |           118.696 |           1.19 |         1:54:00 |     8     0     4  66.7 |
|     YFI/USDT |        10 |           0.79 |           7.87 |           116.234 |           1.16 |         3:57:00 |     7     0     3  70.0 |
|    AAVE/USDT |         3 |           2.00 |           6.00 |           105.135 |           1.05 |         0:57:00 |     3     0     0   100 |
|    KLAY/USDT |         7 |           0.84 |           5.86 |            98.470 |           0.98 |         1:46:00 |     5     0     2  71.4 |
|    COMP/USDT |         7 |           0.85 |           5.93 |            94.453 |           0.94 |         3:06:00 |     5     0     2  71.4 |
|    COTI/USDT |         5 |           1.19 |           5.96 |            93.314 |           0.93 |         4:10:00 |     4     0     1  80.0 |
|     OGN/USDT |         5 |           1.19 |           5.94 |            89.403 |           0.89 |         1:42:00 |     4     0     1  80.0 |
|     TRX/USDT |        17 |           0.33 |           5.54 |            89.245 |           0.89 |        19:01:00 |    10     0     7  58.8 |
|     CHZ/USDT |        21 |           0.27 |           5.64 |            88.232 |           0.88 |         4:16:00 |    12     0     9  57.1 |
|     CHR/USDT |         2 |           1.97 |           3.95 |            75.462 |           0.75 |        23:58:00 |     2     0     0   100 |
|     KSM/USDT |         2 |           2.00 |           4.01 |            74.226 |           0.74 |        23:48:00 |     2     0     0   100 |
|     GTC/USDT |         4 |           0.99 |           3.97 |            73.559 |           0.74 |         1:54:00 |     3     0     1  75.0 |
|     LPT/USDT |         4 |           0.99 |           3.96 |            70.590 |           0.71 |         1:49:00 |     3     0     1  75.0 |
|     EOS/USDT |        15 |           0.12 |           1.77 |            66.678 |           0.67 |         7:00:00 |     8     0     7  53.3 |
|     GMT/USDT |        19 |           0.30 |           5.72 |            54.188 |           0.54 |         8:11:00 |    11     0     8  57.9 |
|    STMX/USDT |         2 |           1.99 |           3.98 |            52.707 |           0.53 |        16:05:00 |     2     0     0   100 |
|   SPELL/USDT |         7 |           0.27 |           1.89 |            50.525 |           0.51 |         2:35:00 |     4     0     3  57.1 |
|    KAVA/USDT |         9 |           0.20 |           1.82 |            45.297 |           0.45 |         2:56:00 |     5     0     4  55.6 |
|      OP/USDT |         7 |           0.27 |           1.86 |            41.259 |           0.41 |         2:05:00 |     4     0     3  57.1 |
|     C98/USDT |         5 |           0.41 |           2.06 |            39.718 |           0.40 |         1:44:00 |     3     0     2  60.0 |
