============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|--------------+-----------+----------------+----------------+-------------------+----------------+-----------------+-------------------------|
|     SNX/USDT |        75 |           0.49 |          36.95 |           185.864 |           1.86 |         3:05:00 |    47     0    28  62.7 |
|     INJ/USDT |        69 |           0.42 |          29.09 |           149.804 |           1.50 |         2:25:00 |    42     0    27  60.9 |
|     KNC/USDT |        30 |           0.79 |          23.71 |           113.695 |           1.14 |         4:37:00 |    21     0     9  70.0 |
|     CVX/USDT |        29 |           0.46 |          13.21 |            79.497 |           0.79 |         3:27:00 |    18     0    11  62.1 |
|     KSM/USDT |        18 |           0.88 |          15.81 |            77.609 |           0.78 |         4:47:00 |    13     0     5  72.2 |
|     BEL/USDT |        37 |           0.48 |          17.63 |            75.856 |           0.76 |         7:02:00 |    23     0    14  62.2 |
|    EGLD/USDT |        47 |           0.28 |          13.32 |            74.776 |           0.75 |         6:52:00 |    27     0    20  57.4 |
|    AVAX/USDT |        37 |           0.48 |          17.70 |            70.222 |           0.70 |         6:16:00 |    23     0    14  62.2 |
|    ARPA/USDT |        65 |           0.26 |          16.88 |            66.783 |           0.67 |         7:55:00 |    37     0    28  56.9 |
|    KLAY/USDT |        35 |           0.38 |          13.43 |            66.339 |           0.66 |         3:12:00 |    21     0    14  60.0 |
|     LDO/USDT |        38 |           0.40 |          15.33 |            63.305 |           0.63 |         2:39:00 |    23     0    15  60.5 |
|   OCEAN/USDT |        31 |           0.43 |          13.42 |            62.189 |           0.62 |         2:22:00 |    19     0    12  61.3 |
|    BAND/USDT |        33 |           0.39 |          13.01 |            57.746 |           0.58 |         1:37:00 |    20     0    13  60.6 |
|    CTSI/USDT |        18 |           0.66 |          11.86 |            57.242 |           0.57 |         5:11:00 |    12     0     6  66.7 |
|     REN/USDT |        39 |           0.24 |           9.29 |            49.995 |           0.50 |         2:01:00 |    22     0    17  56.4 |
|     YFI/USDT |        28 |           0.41 |          11.55 |            49.442 |           0.49 |         4:27:00 |    17     0    11  60.7 |
|    DUSK/USDT |        22 |           0.53 |          11.67 |            47.549 |           0.48 |         5:41:00 |    14     0     8  63.6 |
|      OP/USDT |        35 |           0.27 |           9.41 |            46.966 |           0.47 |         2:08:00 |    20     0    15  57.1 |
|     BAT/USDT |        14 |           0.77 |          10.77 |            45.316 |           0.45 |         5:29:00 |    10     0     4  71.4 |
|     DAR/USDT |        20 |           0.38 |           7.60 |            39.669 |           0.40 |         5:11:00 |    12     0     8  60.0 |
|   WAVES/USDT |        82 |           0.08 |           6.43 |            35.661 |           0.36 |         7:00:00 |    43     0    39  52.4 |
|  BTCDOM/USDT |        20 |           0.40 |           8.00 |            33.114 |           0.33 | 1 day, 14:51:00 |    12     0     8  60.0 |
|    CELO/USDT |        19 |           0.31 |           5.94 |            32.026 |           0.32 |         2:46:00 |    11     0     8  57.9 |
|     HOT/USDT |        15 |           0.39 |           5.79 |            29.258 |           0.29 |         3:29:00 |     9     0     6  60.0 |
|     LPT/USDT |        15 |           0.39 |           5.79 |            27.807 |           0.28 |         4:38:00 |     9     0     6  60.0 |
|    ALGO/USDT |        25 |           0.22 |           5.59 |            26.626 |           0.27 |         4:06:00 |    14     0    11  56.0 |
|     FTM/USDT |        29 |           0.19 |           5.53 |            25.914 |           0.26 |         3:59:00 |    16     0    13  55.2 |
|     XTZ/USDT |        12 |           0.32 |           3.89 |            24.164 |           0.24 |        17:24:00 |     7     0     5  58.3 |
|    SAND/USDT |        30 |           0.19 |           5.60 |            23.790 |           0.24 |         3:57:00 |    17     0    13  56.7 |
|     CHR/USDT |        11 |           0.52 |           5.75 |            23.351 |           0.23 |         6:37:00 |     7     0     4  63.6 |
|     DGB/USDT |        20 |           0.19 |           3.75 |            22.819 |           0.23 |         5:13:00 |    11     0     9  55.0 |
|    KAVA/USDT |        33 |           0.09 |           2.93 |            22.327 |           0.22 |         2:37:00 |    17     0    16  51.5 |
|     XLM/USDT |        31 |           0.17 |           5.30 |            20.836 |           0.21 |         8:35:00 |    17     0    14  54.8 |
|    LINA/USDT |        36 |           0.06 |           2.33 |            19.753 |           0.20 |         3:10:00 |    19     0    17  52.8 |
|     FLM/USDT |        25 |           0.21 |           5.34 |            19.385 |           0.19 |         4:08:00 |    14     0    11  56.0 |
|     IMX/USDT |        17 |           0.24 |           4.04 |            19.016 |           0.19 |         3:54:00 |    10     0     7  58.8 |
|     AXS/USDT |        27 |           0.07 |           1.93 |            18.941 |           0.19 |         5:26:00 |    14     0    13  51.9 |
|     SFP/USDT |        49 |           0.09 |           4.17 |            15.432 |           0.15 |         2:52:00 |    26     0    23  53.1 |
|   AUDIO/USDT |        22 |           0.16 |           3.62 |            14.447 |           0.14 |         3:44:00 |    12     0    10  54.5 |
