============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|     REN/USDT |        19 |           0.08 |           1.59 |            19.902 |           0.20 |         0:49:00 |    10     0     9  52.6 |
|     TRB/USDT |        21 |           0.08 |           1.61 |            18.525 |           0.19 |         3:42:00 |    11     0    10  52.4 |
|    IOTX/USDT |         7 |           0.26 |           1.82 |            17.937 |           0.18 |        12:30:00 |     4     0     3  57.1 |
|     LPT/USDT |         9 |           0.20 |           1.83 |            17.899 |           0.18 |         1:38:00 |     5     0     4  55.6 |
|     ONE/USDT |         1 |           2.00 |           2.00 |            17.614 |           0.18 |         0:05:00 |     1     0     0   100 |
|   SPELL/USDT |        13 |           0.14 |           1.81 |            16.920 |           0.17 |         5:46:00 |     7     0     6  53.8 |
|    UNFI/USDT |        23 |           0.07 |           1.53 |            11.161 |           0.11 |         2:35:00 |    12     0    11  52.2 |
|    BAND/USDT |        15 |           0.09 |           1.38 |            10.743 |           0.11 |         0:51:00 |     8     0     7  53.3 |
|    API3/USDT |         7 |           0.26 |           1.82 |             6.494 |           0.06 |         0:34:00 |     4     0     3  57.1 |
|    CTSI/USDT |         8 |          -0.01 |          -0.11 |             4.979 |           0.05 |         3:33:00 |     4     0     4  50.0 |
|   ALICE/USDT |         4 |           0.01 |           0.03 |             3.926 |           0.04 |         7:25:00 |     2     0     2  50.0 |
|    MANA/USDT |         6 |          -0.02 |          -0.12 |             2.642 |           0.03 |         2:49:00 |     3     0     3  50.0 |
|     NEO/USDT |         8 |          -0.01 |          -0.11 |             2.539 |           0.03 |        12:02:00 |     4     0     4  50.0 |
|     IMX/USDT |         7 |           0.04 |           0.26 |             2.315 |           0.02 |         1:34:00 |     4     0     3  57.1 |
|    SAND/USDT |         7 |           0.01 |           0.04 |             2.096 |           0.02 |         7:10:00 |     4     0     3  57.1 |
|     SFP/USDT |        25 |           0.02 |           0.58 |             1.699 |           0.02 |         2:26:00 |    13     0    12  52.0 |
|    DENT/USDT |         2 |          -0.03 |          -0.06 |             0.882 |           0.01 |         7:48:00 |     1     0     1  50.0 |
|    CELO/USDT |        10 |          -0.01 |          -0.08 |             0.841 |           0.01 |         2:08:00 |     5     0     5  50.0 |
|     HOT/USDT |         6 |          -0.02 |          -0.12 |             0.804 |           0.01 |         4:02:00 |     3     0     3  50.0 |
|    IOST/USDT |         2 |          -0.02 |          -0.04 |            -0.517 |          -0.01 |         2:50:00 |     1     0     1  50.0 |
|     RVN/USDT |         6 |          -0.01 |          -0.07 |            -2.205 |          -0.02 |         8:17:00 |     3     0     3  50.0 |
|   AUDIO/USDT |        10 |          -0.01 |          -0.11 |            -3.890 |          -0.04 |         2:28:00 |     5     0     5  50.0 |
|     SKL/USDT |         4 |          -0.01 |          -0.06 |            -4.217 |          -0.04 |         1:51:00 |     2     0     2  50.0 |
|    LINA/USDT |        16 |          -0.03 |          -0.47 |            -4.238 |          -0.04 |         1:44:00 |     8     0     8  50.0 |
|     C98/USDT |        14 |          -0.01 |          -0.20 |            -5.337 |          -0.05 |         2:17:00 |     7     0     7  50.0 |
|    RUNE/USDT |         4 |          -0.02 |          -0.08 |            -6.099 |          -0.06 |         5:59:00 |     2     0     2  50.0 |
| 1000XEC/USDT |         6 |          -0.02 |          -0.13 |            -8.265 |          -0.08 |         9:44:00 |     3     0     3  50.0 |
|     EOS/USDT |        23 |          -0.10 |          -2.19 |           -10.629 |          -0.11 |         5:46:00 |    11     0    12  47.8 |
|    DASH/USDT |         5 |          -0.43 |          -2.14 |           -15.003 |          -0.15 |         4:49:00 |     2     0     3  40.0 |
|     DAR/USDT |         9 |          -0.25 |          -2.24 |           -15.698 |          -0.16 |         2:23:00 |     4     0     5  44.4 |
|    STMX/USDT |         5 |          -0.44 |          -2.22 |           -15.926 |          -0.16 |        13:35:00 |     2     0     3  40.0 |
|    DEFI/USDT |         1 |          -2.05 |          -2.05 |           -18.272 |          -0.18 |         1:35:00 |     0     0     1     0 |
|     ICX/USDT |         1 |          -2.03 |          -2.03 |           -18.502 |          -0.19 |        15:05:00 |     0     0     1     0 |
|     ENJ/USDT |         3 |          -0.69 |          -2.07 |           -18.908 |          -0.19 |         2:55:00 |     1     0     2  33.3 |
|     HNT/USDT |        25 |          -0.10 |          -2.39 |           -19.265 |          -0.19 |         2:53:00 |    12     0    13  48.0 |
|     VET/USDT |         7 |          -0.30 |          -2.11 |           -20.118 |          -0.20 |         3:41:00 |     3     0     4  42.9 |
|    ALGO/USDT |         9 |          -0.24 |          -2.14 |           -20.152 |          -0.20 |         4:11:00 |     4     0     5  44.4 |
|      AR/USDT |        30 |          -0.02 |          -0.59 |           -20.215 |          -0.20 |         4:04:00 |    15     0    15  50.0 |
|     ONT/USDT |         1 |          -2.09 |          -2.09 |           -20.642 |          -0.21 |         0:15:00 |     0     0     1     0 |
|     SXP/USDT |         3 |          -0.70 |          -2.11 |           -21.322 |          -0.21 |         0:33:00 |     1     0     2  33.3 |
|    QTUM/USDT |         3 |          -0.70 |          -2.09 |           -21.888 |          -0.22 |         3:15:00 |     1     0     2  33.3 |
|     CHR/USDT |         7 |          -0.32 |          -2.27 |           -22.174 |          -0.22 |         9:11:00 |     3     0     4  42.9 |
|     RLC/USDT |        11 |          -0.21 |          -2.36 |           -23.080 |          -0.23 |         2:48:00 |     5     0     6  45.5 |
|    GALA/USDT |        11 |          -0.21 |          -2.29 |           -25.998 |          -0.26 |         2:09:00 |     5     0     6  45.5 |
|   JASMY/USDT |        32 |          -0.15 |          -4.81 |           -29.327 |          -0.29 |         3:42:00 |    15     0    17  46.9 |
|     OMG/USDT |         2 |          -2.07 |          -4.14 |           -35.616 |          -0.36 |        10:18:00 |     0     0     2     0 |
|    CELR/USDT |         4 |          -1.02 |          -4.09 |           -36.642 |          -0.37 |         2:44:00 |     1     0     3  25.0 |
|    ROSE/USDT |         2 |          -2.03 |          -4.06 |           -37.021 |          -0.37 |         3:38:00 |     0     0     2     0 |
|     ZRX/USDT |         8 |          -0.52 |          -4.13 |           -38.070 |          -0.38 |         2:51:00 |     3     0     5  37.5 |
|    COTI/USDT |        16 |          -0.27 |          -4.36 |           -41.910 |          -0.42 |         4:52:00 |     7     0     9  43.8 |
|     BLZ/USDT |        14 |          -0.37 |          -5.14 |           -45.153 |          -0.45 |         2:22:00 |     6     0     8  42.9 |
|     DGB/USDT |         6 |          -0.73 |          -4.36 |           -45.562 |          -0.46 |         4:40:00 |     2     0     4  33.3 |
|    FLOW/USDT |        10 |          -0.43 |          -4.31 |           -51.919 |          -0.52 |        10:56:00 |     4     0     6  40.0 |
|    BAKE/USDT |        11 |          -0.57 |          -6.22 |           -52.648 |          -0.53 |         1:45:00 |     4     0     7  36.4 |
|     ETH/USDT |        58 |          -0.09 |          -5.10 |           -54.002 |          -0.54 |        10:25:00 |    28     0    30  48.3 |
|    HBAR/USDT |        18 |          -0.24 |          -4.39 |           -55.116 |          -0.55 |         8:42:00 |     8     0    10  44.4 |
|    NEAR/USDT |        24 |          -0.19 |          -4.52 |           -55.962 |          -0.56 |         5:18:00 |    11     0    13  45.8 |
|     FIL/USDT |        15 |          -0.43 |          -6.45 |           -56.684 |          -0.57 |         4:25:00 |     6     0     9  40.0 |
|     ATA/USDT |        19 |          -0.33 |          -6.19 |           -61.565 |          -0.62 |         3:31:00 |     8     0    11  42.1 |
|     GAL/USDT |         7 |          -0.88 |          -6.19 |           -66.082 |          -0.66 |         0:41:00 |     2     0     5  28.6 |
|     BAL/USDT |        12 |          -0.70 |          -8.38 |           -67.941 |          -0.68 |         2:54:00 |     4     0     8  33.3 |
|    LINK/USDT |        34 |          -0.26 |          -8.73 |           -68.482 |          -0.68 |         4:52:00 |    15     0    19  44.1 |
|     ICP/USDT |        10 |          -0.83 |          -8.27 |           -75.508 |          -0.76 |        13:32:00 |     3     0     7  30.0 |
|     LRC/USDT |         8 |          -1.03 |          -8.28 |           -76.545 |          -0.77 |         4:21:00 |     2     0     6  25.0 |
|    MASK/USDT |        18 |          -0.48 |          -8.69 |           -79.582 |          -0.80 |         1:39:00 |     7     0    11  38.9 |
|     XMR/USDT |        20 |          -0.42 |          -8.42 |           -80.114 |          -0.80 |        12:42:00 |     8     0    12  40.0 |
|     AXS/USDT |        13 |          -0.77 |         -10.00 |           -83.864 |          -0.84 |         7:59:00 |     4     0     9  30.8 |
|   LUNA2/USDT |        46 |          -0.19 |          -8.93 |           -84.521 |          -0.85 |         5:42:00 |    21     0    25  45.7 |
|     GTC/USDT |        14 |          -0.60 |          -8.40 |           -90.560 |          -0.91 |         2:57:00 |     5     0     9  35.7 |
|     ETC/USDT |        50 |          -0.21 |         -10.37 |           -94.471 |          -0.94 |         4:51:00 |    23     0    27  46.0 |
|     ANT/USDT |        17 |          -0.62 |         -10.48 |           -96.460 |          -0.96 |         3:06:00 |     6     0    11  35.3 |
|     STG/USDT |        30 |          -0.30 |          -8.88 |          -106.424 |          -1.06 |         4:41:00 |    13     0    17  43.3 |
|     BCH/USDT |        12 |          -1.03 |         -12.31 |          -106.867 |          -1.07 |         3:35:00 |     3     0     9  25.0 |
|   THETA/USDT |        13 |          -0.80 |         -10.37 |          -108.387 |          -1.08 |         4:23:00 |     4     0     9  30.8 |
|     ADA/USDT |        35 |          -0.31 |         -10.85 |          -114.110 |          -1.14 |         7:57:00 |    15     0    20  42.9 |
|    IOTA/USDT |         8 |          -1.53 |         -12.23 |          -123.155 |          -1.23 |         3:29:00 |     1     0     7  12.5 |
|     APE/USDT |        30 |          -0.42 |         -12.70 |          -125.203 |          -1.25 |         2:22:00 |    12     0    18  40.0 |
|     CTK/USDT |        21 |          -0.70 |         -14.72 |          -134.237 |          -1.34 |         7:41:00 |     7     0    14  33.3 |
|   1INCH/USDT |        15 |          -0.96 |         -14.46 |          -139.088 |          -1.39 |         6:55:00 |     4     0    11  26.7 |
|     CHZ/USDT |        37 |          -0.40 |         -14.93 |          -146.527 |          -1.47 |         4:34:00 |    15     0    22  40.5 |
|     ENS/USDT |        41 |          -0.46 |         -18.94 |          -180.994 |          -1.81 |         3:15:00 |    16     0    25  39.0 |
|     DOT/USDT |        21 |          -0.89 |         -18.65 |          -181.851 |          -1.82 |         7:08:00 |     6     0    15  28.6 |
|     LTC/USDT |        30 |          -0.69 |         -20.80 |          -193.774 |          -1.94 |         5:05:00 |    10     0    20  33.3 |
|     CRV/USDT |        26 |          -0.81 |         -21.01 |          -199.678 |          -2.00 |         2:00:00 |     8     0    18  30.8 |
|   SUSHI/USDT |        49 |          -0.48 |         -23.55 |          -221.985 |          -2.22 |         2:15:00 |    19     0    30  38.8 |
|   MATIC/USDT |        35 |          -0.65 |         -22.88 |          -228.283 |          -2.28 |         4:28:00 |    12     0    23  34.3 |
|     MKR/USDT |        51 |          -0.45 |         -23.13 |          -253.397 |          -2.53 |         4:45:00 |    20     0    31  39.2 |
|     XRP/USDT |        59 |          -0.46 |         -27.33 |          -259.121 |          -2.59 |         6:25:00 |    23     0    36  39.0 |
|        TOTAL |      2502 |          -0.05 |        -129.28 |         -1323.052 |         -13.23 |         5:28:00 |  1235     0  1267  49.4 |
=========================================================== ENTER TAG STATS ===========================================================
|   TAG |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------+-----------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
| TOTAL |      2502 |          -0.05 |        -129.28 |         -1323.052 |         -13.23 |        5:28:00 |  1235     0  1267  49.4 |
===================================================== EXIT REASON STATS =====================================================
|   Exit Reason |   Exits |   Win  Draws  Loss  Win% |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|---------------+---------+--------------------------+----------------+----------------+-------------------+----------------|
|     stop_loss |    1266 |      0     0  1266     0 |          -2.04 |       -2584.74 |        -25188.9   |        -258.47 |
|           roi |    1226 |   1226     0     0   100 |           2    |        2451.38 |         23831.1   |         245.14 |
|    force_exit |      10 |      9     0     1  90.0 |           0.41 |           4.08 |            34.779 |           0.41 |
========================================================= LEFT OPEN TRADES REPORT =========================================================
|      Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-----------+-----------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|  BLZ/USDT |         1 |           1.17 |           1.17 |            10.063 |           0.10 |        4:05:00 |     1     0     0   100 |
|  RSR/USDT |         1 |           0.99 |           0.99 |             8.506 |           0.09 |        3:55:00 |     1     0     0   100 |
|  ETC/USDT |         1 |           0.80 |           0.80 |             6.693 |           0.07 |        3:35:00 |     1     0     0   100 |
|  BAT/USDT |         1 |           0.47 |           0.47 |             3.944 |           0.04 |        3:05:00 |     1     0     0   100 |
|  IMX/USDT |         1 |           0.37 |           0.37 |             3.145 |           0.03 |        5:10:00 |     1     0     0   100 |
| SAND/USDT |         1 |           0.18 |           0.18 |             1.545 |           0.02 |        0:30:00 |     1     0     0   100 |
| TOMO/USDT |         1 |           0.14 |           0.14 |             1.185 |           0.01 |        3:55:00 |     1     0     0   100 |
|  BNX/USDT |         1 |           0.06 |           0.06 |             0.513 |           0.01 |        5:15:00 |     1     0     0   100 |
|  BTC/USDT |         1 |           0.04 |           0.04 |             0.360 |           0.00 |        1:00:00 |     1     0     0   100 |
| REEF/USDT |         1 |          -0.14 |          -0.14 |            -1.174 |          -0.01 |        1:00:00 |     0     0     1     0 |
|     TOTAL |        10 |           0.41 |           4.08 |            34.779 |           0.35 |        3:09:00 |     9     0     1  90.0 |
================== SUMMARY METRICS ==================
| Metric                      | Value               |
|-----------------------------+---------------------|
| Backtesting from            | 2022-10-01 00:00:00 |
| Backtesting to              | 2022-12-01 00:00:00 |
| Max open trades             | 10                  |
|                             |                     |
| Total/Daily Avg Trades      | 2502 / 41.02        |
| Starting balance            | 10000 USDT          |
| Final balance               | 8676.948 USDT       |
| Absolute profit             | -1323.052 USDT      |
| Total profit %              | -13.23%             |
| CAGR %                      | -57.22%             |
| Profit factor               | 0.95                |
| Trades per day              | 41.02               |
| Avg. daily profit %         | -0.22%              |
| Avg. stake amount           | 972.815 USDT        |
| Total trade volume          | 2433983.85 USDT     |
|                             |                     |
| Long / Short                | 1210 / 1292         |
| Total profit Long %         | -7.15%              |
| Total profit Short %        | -6.08%              |
| Absolute profit Long        | -714.989 USDT       |
| Absolute profit Short       | -608.064 USDT       |
|                             |                     |
| Best Pair                   | INJ/USDT 19.62%     |
| Worst Pair                  | XRP/USDT -27.33%    |
| Best trade                  | INJ/USDT 2.39%      |
| Worst trade                 | BTCDOM/USDT -2.74%  |
| Best day                    | 543.712 USDT        |
| Worst day                   | -608.347 USDT       |
| Days win/draw/lose          | 27 / 0 / 35         |
| Avg. Duration Winners       | 5:46:00             |
| Avg. Duration Loser         | 5:11:00             |
| Rejected Entry signals      | 1882785             |
| Entry/Exit Timeouts         | 0 / 0               |
|                             |                     |
| Min balance                 | 8497.012 USDT       |
| Max balance                 | 11291.593 USDT      |
| Max % of account underwater | 24.75%              |
| Absolute Drawdown (Account) | 24.75%              |
| Absolute Drawdown           | 2794.58 USDT        |
| Drawdown high               | 1291.593 USDT       |
| Drawdown low                | -1502.988 USDT      |
| Drawdown Start              | 2022-10-25 18:30:00 |
| Drawdown End                | 2022-11-14 09:15:00 |
| Market change               | -15.73%             |
=====================================================
