============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|--------------+-----------+----------------+----------------+-------------------+----------------+-----------------+-------------------------|
|   WAVES/USDT |        31 |           0.56 |          17.51 |           395.759 |           3.96 |         4:36:00 |    20     0    11  64.5 |
|     SOL/USDT |        26 |           0.60 |          15.57 |           369.235 |           3.69 |         3:32:00 |    17     0     9  65.4 |
|     INJ/USDT |        18 |           0.87 |          15.73 |           343.588 |           3.44 |         1:50:00 |    13     0     5  72.2 |
|     LDO/USDT |        12 |           1.32 |          15.85 |           337.465 |           3.37 |         2:59:00 |    10     0     2  83.3 |
|     CHZ/USDT |        17 |           0.57 |           9.76 |           233.917 |           2.34 |         3:15:00 |    11     0     6  64.7 |
|     NKN/USDT |         8 |           1.01 |           8.10 |           215.553 |           2.16 |         5:49:00 |     6     0     2  75.0 |
|     EOS/USDT |         8 |           1.00 |           8.01 |           196.993 |           1.97 |         3:09:00 |     6     0     2  75.0 |
|     OGN/USDT |         4 |           2.00 |           8.00 |           165.111 |           1.65 |         1:58:00 |     4     0     0   100 |
|     KNC/USDT |         8 |           1.00 |           7.96 |           161.192 |           1.61 |         7:02:00 |     6     0     2  75.0 |
|     CVX/USDT |         5 |           1.19 |           5.93 |           159.775 |           1.60 |         2:22:00 |     4     0     1  80.0 |
|     TRB/USDT |         5 |           1.20 |           6.00 |           147.475 |           1.47 |         2:29:00 |     4     0     1  80.0 |
|     BNX/USDT |        22 |           0.26 |           5.67 |           146.038 |           1.46 |        11:10:00 |    13     0     9  59.1 |
|      OP/USDT |         5 |           1.19 |           5.95 |           141.454 |           1.41 |         1:15:00 |     4     0     1  80.0 |
|    COMP/USDT |         3 |           2.00 |           6.01 |           133.899 |           1.34 |         0:27:00 |     3     0     0   100 |
|     XLM/USDT |         3 |           2.00 |           6.01 |           132.129 |           1.32 |         1:38:00 |     3     0     0   100 |
|     GMT/USDT |        16 |           0.48 |           7.75 |           123.447 |           1.23 |         6:46:00 |    10     0     6  62.5 |
|    BAND/USDT |         5 |           1.19 |           5.97 |           121.698 |           1.22 |         1:37:00 |     4     0     1  80.0 |
|     RSR/USDT |        10 |           0.39 |           3.85 |           105.487 |           1.05 |         3:04:00 |     6     0     4  60.0 |
|      AR/USDT |        12 |           0.32 |           3.83 |           101.572 |           1.02 |         5:48:00 |     7     0     5  58.3 |
|     DAR/USDT |         4 |           1.00 |           3.99 |            97.624 |           0.98 |         1:49:00 |     3     0     1  75.0 |
|    REEF/USDT |        29 |           0.11 |           3.32 |            96.255 |           0.96 |         3:03:00 |    15     0    14  51.7 |
|     LPT/USDT |         2 |           2.00 |           4.00 |            93.580 |           0.94 |         3:10:00 |     2     0     0   100 |
|    AAVE/USDT |         2 |           2.00 |           4.00 |            93.219 |           0.93 |         0:50:00 |     2     0     0   100 |
|     VET/USDT |         2 |           2.01 |           4.02 |            86.531 |           0.87 |         2:32:00 |     2     0     0   100 |
|    DOGE/USDT |        10 |           0.38 |           3.81 |            81.353 |           0.81 |         3:04:00 |     6     0     4  60.0 |
|     CRV/USDT |         6 |           0.63 |           3.80 |            77.723 |           0.78 |         2:11:00 |     4     0     2  66.7 |
|     YFI/USDT |         8 |           0.48 |           3.86 |            76.092 |           0.76 |         4:35:00 |     5     0     3  62.5 |
|    COTI/USDT |         4 |           0.99 |           3.97 |            75.677 |           0.76 |         3:49:00 |     3     0     1  75.0 |
|   SPELL/USDT |         3 |           0.64 |           1.93 |            59.287 |           0.59 |         4:05:00 |     2     0     1  66.7 |
|     C98/USDT |         5 |           0.41 |           2.06 |            51.499 |           0.51 |         1:44:00 |     3     0     2  60.0 |
|     KSM/USDT |         1 |           2.01 |           2.01 |            50.534 |           0.51 | 1 day, 21:45:00 |     1     0     0   100 |
|     CHR/USDT |         1 |           1.95 |           1.95 |            49.130 |           0.49 | 1 day, 21:15:00 |     1     0     0   100 |
|     ZEN/USDT |         1 |           2.00 |           2.00 |            48.422 |           0.48 |        11:45:00 |     1     0     0   100 |
|     GTC/USDT |         3 |           0.66 |           1.97 |            47.819 |           0.48 |         2:30:00 |     2     0     1  66.7 |
|     BEL/USDT |         7 |           0.28 |           1.99 |            47.644 |           0.48 |         2:32:00 |     4     0     3  57.1 |
|     IMX/USDT |         3 |           0.66 |           1.98 |            44.601 |           0.45 |         1:37:00 |     2     0     1  66.7 |
|    CELO/USDT |         7 |           0.26 |           1.80 |            42.342 |           0.42 |         2:46:00 |     4     0     3  57.1 |
|    UNFI/USDT |         9 |           0.20 |           1.82 |            37.696 |           0.38 |         2:06:00 |     5     0     4  55.6 |
|     FIL/USDT |         1 |           2.00 |           2.00 |            37.130 |           0.37 |         0:35:00 |     1     0     0   100 |
|     ONE/USDT |         1 |           2.00 |           2.00 |            36.422 |           0.36 |         0:05:00 |     1     0     0   100 |
|    KLAY/USDT |         5 |           0.37 |           1.86 |            34.934 |           0.35 |         1:56:00 |     3     0     2  60.0 |
|     FLM/USDT |         3 |           0.66 |           1.98 |            34.729 |           0.35 |         5:25:00 |     2     0     1  66.7 |
