============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|--------------+-----------+----------------+----------------+-------------------+----------------+-----------------+-------------------------|
|     CVX/USDT |        67 |           0.57 |          38.24 |            79.187 |           0.79 |         4:51:00 |    43     0    24  64.2 |
|     XEM/USDT |        64 |           0.57 |          36.39 |            69.645 |           0.70 |        10:22:00 |    41     0    23  64.1 |
|      OP/USDT |       112 |           0.31 |          34.21 |            69.167 |           0.69 |         2:57:00 |    65     0    47  58.0 |
|    LINA/USDT |        97 |           0.32 |          31.20 |            67.785 |           0.68 |         3:51:00 |    57     0    40  58.8 |
|   OCEAN/USDT |        89 |           0.36 |          32.38 |            62.622 |           0.63 |         3:21:00 |    53     0    36  59.6 |
|     SXP/USDT |        51 |           0.57 |          29.03 |            60.683 |           0.61 |         5:50:00 |    33     0    18  64.7 |
|     BEL/USDT |        90 |           0.34 |          30.93 |            58.097 |           0.58 |         6:38:00 |    53     0    37  58.9 |
|    KLAY/USDT |        83 |           0.35 |          28.76 |            54.954 |           0.55 |         6:13:00 |    49     0    34  59.0 |
|     REN/USDT |       112 |           0.27 |          30.00 |            49.863 |           0.50 |         3:38:00 |    64     0    48  57.1 |
|     CHR/USDT |        60 |           0.45 |          26.83 |            49.200 |           0.49 |         5:23:00 |    37     0    23  61.7 |
|    BAND/USDT |        92 |           0.28 |          25.99 |            43.324 |           0.43 |         3:18:00 |    53     0    39  57.6 |
|     LIT/USDT |       148 |           0.11 |          17.01 |            42.454 |           0.42 |         2:32:00 |    79     0    69  53.4 |
|     STG/USDT |        88 |           0.25 |          22.01 |            42.242 |           0.42 |         6:15:00 |    50     0    38  56.8 |
|     SNX/USDT |       127 |           0.15 |          19.48 |            41.288 |           0.41 |         4:19:00 |    69     0    58  54.3 |
|     SFP/USDT |       102 |           0.21 |          21.39 |            36.954 |           0.37 |         3:32:00 |    57     0    45  55.9 |
|     FTM/USDT |        87 |           0.24 |          20.65 |            35.154 |           0.35 |         4:35:00 |    49     0    38  56.3 |
|    MASK/USDT |        75 |           0.18 |          13.29 |            33.782 |           0.34 |         2:14:00 |    41     0    34  54.7 |
|    API3/USDT |        65 |           0.24 |          15.57 |            32.027 |           0.32 |         4:37:00 |    37     0    28  56.9 |
|    ALGO/USDT |        80 |           0.18 |          14.73 |            31.656 |           0.32 |         5:50:00 |    44     0    36  55.0 |
|     ZRX/USDT |        57 |           0.29 |          16.27 |            30.818 |           0.31 |         6:01:00 |    33     0    24  57.9 |
|    DUSK/USDT |        65 |           0.20 |          12.75 |            27.308 |           0.27 |         6:32:00 |    36     0    29  55.4 |
|    ARPA/USDT |       108 |           0.13 |          13.80 |            24.138 |           0.24 |         6:49:00 |    58     0    50  53.7 |
|     IMX/USDT |        72 |           0.13 |           9.04 |            19.644 |           0.20 |         5:16:00 |    39     0    33  54.2 |
|     OMG/USDT |        48 |           0.18 |           8.40 |            19.266 |           0.19 |         5:22:00 |    26     0    22  54.2 |
|     TRB/USDT |       103 |           0.08 |           7.96 |            16.687 |           0.17 |         5:01:00 |    54     0    49  52.4 |
|     BTC/USDT |        61 |           0.12 |           7.19 |            16.673 |           0.17 |        19:25:00 |    33     0    28  54.1 |
|     RSR/USDT |       129 |           0.05 |           6.79 |            16.538 |           0.17 |         3:19:00 |    67     0    62  51.9 |
|    KAVA/USDT |        70 |           0.12 |           8.45 |            15.206 |           0.15 |         4:45:00 |    37     0    33  52.9 |
|     TRX/USDT |        60 |           0.09 |           5.25 |            14.121 |           0.14 |        16:12:00 |    32     0    28  53.3 |
|     ATA/USDT |       108 |           0.02 |           2.21 |            12.704 |           0.13 |         3:51:00 |    55     0    53  50.9 |
|     LDO/USDT |       105 |           0.06 |           6.14 |            11.204 |           0.11 |         3:41:00 |    55     0    50  52.4 |
|     HOT/USDT |        49 |           0.10 |           4.97 |            10.224 |           0.10 |         8:54:00 |    26     0    23  53.1 |
|     NEO/USDT |        56 |           0.10 |           5.50 |             9.984 |           0.10 |         8:56:00 |    30     0    26  53.6 |
|   AUDIO/USDT |        57 |           0.11 |           6.52 |             9.534 |           0.10 |         5:23:00 |    30     0    27  52.6 |
|   ALICE/USDT |        52 |           0.12 |           6.12 |             9.279 |           0.09 |         5:58:00 |    28     0    24  53.8 |
|     FLM/USDT |        74 |           0.08 |           5.97 |             8.595 |           0.09 |         5:46:00 |    39     0    35  52.7 |
|    CELO/USDT |        79 |           0.07 |           5.17 |             8.311 |           0.08 |         4:43:00 |    41     0    38  51.9 |
|     INJ/USDT |       137 |          -0.00 |          -0.49 |             8.260 |           0.08 |         2:35:00 |    69     0    68  50.4 |
|    HBAR/USDT |        72 |           0.07 |           4.95 |             7.690 |           0.08 |         8:03:00 |    38     0    34  52.8 |
|     ICX/USDT |        30 |           0.12 |           3.66 |             4.788 |           0.05 |         4:36:00 |    16     0    14  53.3 |
|     BLZ/USDT |        93 |          -0.01 |          -0.59 |             4.207 |           0.04 |         4:21:00 |    47     0    46  50.5 |
|     RLC/USDT |        70 |           0.03 |           1.88 |             3.860 |           0.04 |         3:52:00 |    36     0    34  51.4 |
|     KSM/USDT |        54 |          -0.02 |          -1.25 |             3.332 |           0.03 |         6:47:00 |    27     0    27  50.0 |
