============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|   ALICE/USDT |         6 |          -0.01 |          -0.06 |            -0.607 |          -0.01 |         8:36:00 |     3     0     3  50.0 |
|     OMG/USDT |         4 |          -0.02 |          -0.08 |            -0.788 |          -0.01 |         7:48:00 |     2     0     2  50.0 |
|     ZIL/USDT |         6 |          -0.02 |          -0.09 |            -0.932 |          -0.01 |         7:41:00 |     3     0     3  50.0 |
|     ONT/USDT |         4 |          -0.03 |          -0.11 |            -1.084 |          -0.01 |        14:00:00 |     2     0     2  50.0 |
|     MTL/USDT |         8 |          -0.01 |          -0.11 |            -1.129 |          -0.01 |         7:56:00 |     4     0     4  50.0 |
|     ZRX/USDT |        10 |          -0.01 |          -0.13 |            -1.284 |          -0.01 |         2:22:00 |     5     0     5  50.0 |
|    IOST/USDT |         4 |          -0.04 |          -0.14 |            -1.435 |          -0.01 |        18:29:00 |     2     0     2  50.0 |
|     OGN/USDT |        12 |          -0.01 |          -0.15 |            -1.483 |          -0.01 |         3:01:00 |     6     0     6  50.0 |
|    SAND/USDT |         8 |          -0.02 |          -0.18 |            -1.788 |          -0.02 |         9:04:00 |     4     0     4  50.0 |
|   THETA/USDT |        10 |          -0.02 |          -0.18 |            -1.800 |          -0.02 |         5:03:00 |     5     0     5  50.0 |
|    DASH/USDT |         6 |          -0.03 |          -0.19 |            -1.872 |          -0.02 |         7:27:00 |     3     0     3  50.0 |
|     CHR/USDT |         6 |          -0.03 |          -0.19 |            -1.918 |          -0.02 |        10:02:00 |     3     0     3  50.0 |
|   AUDIO/USDT |        10 |          -0.02 |          -0.22 |            -2.144 |          -0.02 |         4:56:00 |     5     0     5  50.0 |
|     ZEC/USDT |        14 |          -0.02 |          -0.22 |            -2.185 |          -0.02 |         5:39:00 |     7     0     7  50.0 |
|     BLZ/USDT |        14 |          -0.02 |          -0.25 |            -2.516 |          -0.03 |         2:41:00 |     7     0     7  50.0 |
|    COTI/USDT |        16 |          -0.02 |          -0.29 |            -2.919 |          -0.03 |         4:45:00 |     8     0     8  50.0 |
|    EGLD/USDT |        16 |          -0.02 |          -0.30 |            -2.991 |          -0.03 |         5:05:00 |     8     0     8  50.0 |
|     RSR/USDT |        28 |          -0.02 |          -0.47 |            -4.717 |          -0.05 |         2:46:00 |    14     0    14  50.0 |
|     UNI/USDT |        24 |          -0.02 |          -0.45 |            -4.735 |          -0.05 |         3:12:00 |    12     0    12  50.0 |
|   WAVES/USDT |        36 |          -0.02 |          -0.72 |            -7.186 |          -0.07 |         6:22:00 |    18     0    18  50.0 |
