============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|     RVN/USDT |         2 |          -0.01 |          -0.02 |             1.222 |           0.01 |         9:08:00 |     1     0     1  50.0 |
|     CHR/USDT |         4 |          -0.03 |          -0.14 |             0.240 |           0.00 |        13:19:00 |     2     0     2  50.0 |
|     ICX/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    DEFI/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|     IMX/USDT |         5 |           0.06 |           0.29 |            -0.122 |          -0.00 |         2:06:00 |     3     0     2  60.0 |
|     XTZ/USDT |         2 |          -0.05 |          -0.10 |            -0.166 |          -0.00 |        16:28:00 |     1     0     1  50.0 |
|     SXP/USDT |         2 |          -0.03 |          -0.06 |            -1.910 |          -0.02 |         0:42:00 |     1     0     1  50.0 |
|    ANKR/USDT |         6 |          -0.02 |          -0.10 |            -2.175 |          -0.02 |         3:46:00 |     3     0     3  50.0 |
|    AAVE/USDT |         6 |          -0.02 |          -0.13 |            -3.051 |          -0.03 |         1:48:00 |     3     0     3  50.0 |
|      AR/USDT |        18 |          -0.02 |          -0.34 |            -3.225 |          -0.03 |         4:20:00 |     9     0     9  50.0 |
|    TOMO/USDT |        12 |          -0.02 |          -0.28 |            -3.523 |          -0.04 |         7:06:00 |     6     0     6  50.0 |
|    IOTX/USDT |         6 |          -0.03 |          -0.16 |            -3.996 |          -0.04 |        12:35:00 |     3     0     3  50.0 |
|     ZRX/USDT |         4 |          -0.02 |          -0.08 |            -4.399 |          -0.04 |         2:09:00 |     2     0     2  50.0 |
|     HNT/USDT |        19 |          -0.12 |          -2.19 |            -6.948 |          -0.07 |         4:36:00 |     9     0    10  47.4 |
|     REN/USDT |        14 |          -0.02 |          -0.32 |            -7.009 |          -0.07 |         1:30:00 |     7     0     7  50.0 |
|     SOL/USDT |        48 |          -0.02 |          -1.15 |            -8.340 |          -0.08 |         4:04:00 |    24     0    24  50.0 |
|     LIT/USDT |        38 |          -0.03 |          -0.96 |            -8.429 |          -0.08 |         2:42:00 |    19     0    19  50.0 |
|  BTCDOM/USDT |        12 |          -0.06 |          -0.73 |           -11.182 |          -0.11 | 2 days, 1:40:00 |     6     0     6  50.0 |
|     FTM/USDT |        10 |          -0.02 |          -0.23 |           -13.684 |          -0.14 |         2:20:00 |     5     0     5  50.0 |
|    AVAX/USDT |        10 |          -0.02 |          -0.21 |           -14.026 |          -0.14 |         6:24:00 |     5     0     5  50.0 |
|    KAVA/USDT |        11 |          -0.20 |          -2.22 |           -21.106 |          -0.21 |         2:27:00 |     5     0     6  45.5 |
|     GAL/USDT |         5 |          -0.42 |          -2.08 |           -22.258 |          -0.22 |         7:47:00 |     2     0     3  40.0 |
|    DASH/USDT |         3 |          -0.70 |          -2.09 |           -22.372 |          -0.22 |         3:57:00 |     1     0     2  33.3 |
|   OCEAN/USDT |         9 |          -0.25 |          -2.21 |           -24.808 |          -0.25 |         0:36:00 |     4     0     5  44.4 |
|     ENJ/USDT |         3 |          -0.69 |          -2.07 |           -24.934 |          -0.25 |         2:55:00 |     1     0     2  33.3 |
|    GALA/USDT |         7 |          -0.32 |          -2.21 |           -25.858 |          -0.26 |         1:47:00 |     3     0     4  42.9 |
|     ZIL/USDT |         3 |          -0.69 |          -2.06 |           -26.384 |          -0.26 |        21:02:00 |     1     0     2  33.3 |
|     ONT/USDT |         1 |          -2.03 |          -2.03 |           -26.597 |          -0.27 | 1 day, 19:35:00 |     0     0     1     0 |
|    CTSI/USDT |         5 |          -0.42 |          -2.11 |           -26.785 |          -0.27 |         1:33:00 |     2     0     3  40.0 |
|    CELR/USDT |         1 |          -2.02 |          -2.02 |           -28.629 |          -0.29 |         0:20:00 |     0     0     1     0 |
|     ZEC/USDT |         9 |          -0.24 |          -2.13 |           -28.737 |          -0.29 |         2:22:00 |     4     0     5  44.4 |
|    ATOM/USDT |        17 |          -0.14 |          -2.36 |           -31.196 |          -0.31 |         5:08:00 |     8     0     9  47.1 |
| 1000XEC/USDT |         3 |          -0.71 |          -2.12 |           -31.561 |          -0.32 |         8:55:00 |     1     0     2  33.3 |
|     DGB/USDT |         1 |          -2.17 |          -2.17 |           -31.576 |          -0.32 |         7:15:00 |     0     0     1     0 |
|     UNI/USDT |        11 |          -0.21 |          -2.31 |           -33.509 |          -0.34 |         4:50:00 |     5     0     6  45.5 |
|     ETC/USDT |        32 |          -0.15 |          -4.77 |           -33.717 |          -0.34 |         3:56:00 |    15     0    17  46.9 |
|    COTI/USDT |         9 |          -0.25 |          -2.22 |           -35.191 |          -0.35 |         4:33:00 |     4     0     5  44.4 |
|    HBAR/USDT |        15 |          -0.16 |          -2.36 |           -38.859 |          -0.39 |         9:21:00 |     7     0     8  46.7 |
|     BAL/USDT |         6 |          -0.69 |          -4.16 |           -40.905 |          -0.41 |         4:02:00 |     2     0     4  33.3 |
|     ATA/USDT |        12 |          -0.35 |          -4.18 |           -43.218 |          -0.43 |         5:50:00 |     5     0     7  41.7 |
|   AUDIO/USDT |         6 |          -0.69 |          -4.13 |           -43.476 |          -0.43 |         3:04:00 |     2     0     4  33.3 |
|    ARPA/USDT |        21 |          -0.11 |          -2.37 |           -43.544 |          -0.44 |         8:42:00 |    10     0    11  47.6 |
|    ROSE/USDT |         2 |          -2.03 |          -4.06 |           -47.088 |          -0.47 |         3:38:00 |     0     0     2     0 |
|    SAND/USDT |         5 |          -0.79 |          -3.95 |           -49.509 |          -0.50 |         6:29:00 |     2     0     3  40.0 |
|     HOT/USDT |         2 |          -2.04 |          -4.09 |           -49.683 |          -0.50 |         2:58:00 |     0     0     2     0 |
|     CRV/USDT |        12 |          -0.36 |          -4.36 |           -50.821 |          -0.51 |         2:21:00 |     5     0     7  41.7 |
|   THETA/USDT |         8 |          -0.52 |          -4.20 |           -52.782 |          -0.53 |         5:29:00 |     3     0     5  37.5 |
|    RUNE/USDT |         2 |          -2.01 |          -4.02 |           -53.984 |          -0.54 |        11:35:00 |     0     0     2     0 |
|    LINA/USDT |        12 |          -0.37 |          -4.49 |           -54.270 |          -0.54 |         1:26:00 |     5     0     7  41.7 |
|    QTUM/USDT |         2 |          -2.04 |          -4.09 |           -54.622 |          -0.55 |         3:42:00 |     0     0     2     0 |
