============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|--------------+-----------+----------------+----------------+-------------------+----------------+-----------------+-------------------------|
|     INJ/USDT |         8 |           1.49 |          11.93 |           543.712 |           5.44 |         3:13:00 |     7     0     1  87.5 |
|     LDO/USDT |         9 |           1.09 |           9.84 |           436.560 |           4.37 |         2:07:00 |     7     0     2  77.8 |
|     CHZ/USDT |        10 |           0.79 |           7.88 |           355.245 |           3.55 |         2:07:00 |     7     0     3  70.0 |
|     CVX/USDT |         3 |           2.00 |           5.99 |           317.058 |           3.17 |         2:38:00 |     3     0     0   100 |
|     RSR/USDT |         5 |           1.20 |           5.98 |           308.590 |           3.09 |         2:35:00 |     4     0     1  80.0 |
|    KLAY/USDT |         3 |           2.00 |           6.00 |           297.373 |           2.97 |         1:10:00 |     3     0     0   100 |
|     C98/USDT |         5 |           1.22 |           6.11 |           282.609 |           2.83 |         1:26:00 |     4     0     1  80.0 |
|     ETC/USDT |         3 |           2.01 |           6.02 |           262.948 |           2.63 |         7:00:00 |     3     0     0   100 |
|     NKN/USDT |         6 |           0.68 |           4.10 |           254.947 |           2.55 |         5:40:00 |     4     0     2  66.7 |
|   WAVES/USDT |        13 |           0.45 |           5.83 |           225.435 |           2.25 |         4:06:00 |     8     0     5  61.5 |
|     SOL/USDT |         8 |           0.48 |           3.85 |           216.354 |           2.16 |         2:59:00 |     5     0     3  62.5 |
|     TRB/USDT |         2 |           2.00 |           4.00 |           210.234 |           2.10 |         4:08:00 |     2     0     0   100 |
|     BEL/USDT |         4 |           1.00 |           3.98 |           207.176 |           2.07 |         2:08:00 |     3     0     1  75.0 |
|      OP/USDT |         2 |           2.00 |           4.00 |           192.863 |           1.93 |         0:45:00 |     2     0     0   100 |
|     VET/USDT |         2 |           2.01 |           4.02 |           184.197 |           1.84 |         2:32:00 |     2     0     0   100 |
|    AVAX/USDT |         4 |           0.99 |           3.96 |           182.175 |           1.82 |         1:05:00 |     3     0     1  75.0 |
|    UNFI/USDT |         4 |           0.99 |           3.95 |           175.857 |           1.76 |         2:41:00 |     3     0     1  75.0 |
|     STG/USDT |         8 |           0.48 |           3.83 |           156.156 |           1.56 |         4:25:00 |     5     0     3  62.5 |
|     BNX/USDT |        16 |           0.23 |           3.63 |           141.838 |           1.42 |        15:54:00 |     9     0     7  56.2 |
|     HNT/USDT |         7 |           0.29 |           2.00 |           122.174 |           1.22 |         2:47:00 |     4     0     3  57.1 |
|     UNI/USDT |         5 |           0.38 |           1.90 |           117.981 |           1.18 |         3:15:00 |     3     0     2  60.0 |
|     GTC/USDT |         3 |           0.66 |           1.97 |           110.933 |           1.11 |         2:30:00 |     2     0     1  66.7 |
|    AAVE/USDT |         1 |           2.00 |           2.00 |           109.366 |           1.09 |         1:40:00 |     1     0     0   100 |
|     DAR/USDT |         1 |           1.99 |           1.99 |           108.310 |           1.08 |         2:15:00 |     1     0     0   100 |
|     KSM/USDT |         1 |           2.01 |           2.01 |           108.286 |           1.08 | 1 day, 21:45:00 |     1     0     0   100 |
|     IMX/USDT |         1 |           2.00 |           2.00 |           104.072 |           1.04 |         2:55:00 |     1     0     0   100 |
|     LPT/USDT |         1 |           2.00 |           2.00 |           100.403 |           1.00 |         3:50:00 |     1     0     0   100 |
|     ANT/USDT |         3 |           0.66 |           1.98 |           100.277 |           1.00 |         0:57:00 |     2     0     1  66.7 |
|    COMP/USDT |         1 |           2.00 |           2.00 |            99.858 |           1.00 |         0:10:00 |     1     0     0   100 |
|     XMR/USDT |         3 |           0.67 |           2.00 |            97.166 |           0.97 |        17:48:00 |     2     0     1  66.7 |
|     EOS/USDT |         3 |           0.65 |           1.96 |            96.809 |           0.97 |         1:45:00 |     2     0     1  66.7 |
|    CTSI/USDT |         1 |           2.00 |           2.00 |            93.884 |           0.94 |         1:10:00 |     1     0     0   100 |
|     CRV/USDT |         3 |           0.63 |           1.88 |            90.006 |           0.90 |         4:03:00 |     2     0     1  66.7 |
|    COTI/USDT |         1 |           2.01 |           2.01 |            89.126 |           0.89 |         3:05:00 |     1     0     0   100 |
|     SNX/USDT |         3 |           0.67 |           2.00 |            87.234 |           0.87 |         3:00:00 |     2     0     1  66.7 |
|   MATIC/USDT |         7 |           0.27 |           1.87 |            87.045 |           0.87 |         5:28:00 |     4     0     3  57.1 |
|     OGN/USDT |         1 |           2.00 |           2.00 |            86.496 |           0.86 |         0:05:00 |     1     0     0   100 |
|      AR/USDT |         3 |           0.65 |           1.95 |            84.352 |           0.84 |        12:48:00 |     2     0     1  66.7 |
|     KNC/USDT |         3 |           0.67 |           2.01 |            82.667 |           0.83 |        13:40:00 |     2     0     1  66.7 |
|     FLM/USDT |         1 |           2.00 |           2.00 |            82.439 |           0.82 |         0:05:00 |     1     0     0   100 |
|    DOGE/USDT |         5 |           0.38 |           1.90 |            82.427 |           0.82 |         4:13:00 |     3     0     2  60.0 |
|     XLM/USDT |         1 |           2.00 |           2.00 |            81.234 |           0.81 |         0:50:00 |     1     0     0   100 |
