============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|--------------+-----------+----------------+----------------+-------------------+----------------+-----------------+-------------------------|
|   WAVES/USDT |        21 |           0.65 |          13.74 |           411.712 |           4.12 |         3:35:00 |    14     0     7  66.7 |
|     LDO/USDT |        11 |           1.26 |          13.83 |           401.490 |           4.01 |         2:12:00 |     9     0     2  81.8 |
|     INJ/USDT |        12 |           0.99 |          11.84 |           343.961 |           3.44 |         2:24:00 |     9     0     3  75.0 |
|     SOL/USDT |        19 |           0.51 |           9.67 |           303.667 |           3.04 |         4:48:00 |    12     0     7  63.2 |
|     CHZ/USDT |        14 |           0.56 |           7.78 |           258.621 |           2.59 |         2:27:00 |     9     0     5  64.3 |
|     NKN/USDT |         7 |           0.87 |           6.10 |           232.226 |           2.32 |         6:37:00 |     5     0     2  71.4 |
|     OGN/USDT |         4 |           2.00 |           8.00 |           225.806 |           2.26 |         1:58:00 |     4     0     0   100 |
|     KNC/USDT |         8 |           1.00 |           7.96 |           218.780 |           2.19 |         7:02:00 |     6     0     2  75.0 |
|     CVX/USDT |         3 |           2.00 |           5.99 |           204.887 |           2.05 |         2:38:00 |     3     0     0   100 |
|    COMP/USDT |         3 |           2.00 |           6.01 |           184.545 |           1.85 |         0:27:00 |     3     0     0   100 |
|     BNX/USDT |        20 |           0.29 |           5.71 |           184.167 |           1.84 |        11:46:00 |    12     0     8  60.0 |
|     XLM/USDT |         3 |           2.00 |           6.01 |           178.194 |           1.78 |         1:38:00 |     3     0     0   100 |
|     CRV/USDT |         5 |           1.18 |           5.88 |           169.820 |           1.70 |         2:34:00 |     4     0     1  80.0 |
|     YFI/USDT |         5 |           1.18 |           5.92 |           164.838 |           1.65 |         5:44:00 |     4     0     1  80.0 |
|    REEF/USDT |        21 |           0.17 |           3.54 |           132.991 |           1.33 |         3:55:00 |    11     0    10  52.4 |
|     LPT/USDT |         2 |           2.00 |           4.00 |           126.192 |           1.26 |         3:10:00 |     2     0     0   100 |
|     RSR/USDT |         8 |           0.49 |           3.90 |           125.590 |           1.26 |         2:12:00 |     5     0     3  62.5 |
|      AR/USDT |         8 |           0.49 |           3.90 |           118.669 |           1.19 |         6:06:00 |     5     0     3  62.5 |
|     VET/USDT |         2 |           2.01 |           4.02 |           116.868 |           1.17 |         2:32:00 |     2     0     0   100 |
|    KLAY/USDT |         6 |           0.64 |           3.86 |           115.853 |           1.16 |         1:48:00 |     4     0     2  66.7 |
|  BTCDOM/USDT |         8 |           0.40 |           3.17 |           107.701 |           1.08 | 1 day, 20:59:00 |     5     0     3  62.5 |
|    UNFI/USDT |         8 |           0.48 |           3.86 |           102.512 |           1.03 |         2:15:00 |     5     0     3  62.5 |
