============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|--------------+-----------+----------------+----------------+-------------------+----------------+-----------------+-------------------------|
|     LDO/USDT |         4 |           2.00 |           7.98 |           688.890 |           6.89 |         2:59:00 |     4     0     0   100 |
|   WAVES/USDT |         7 |           0.85 |           5.94 |           571.142 |           5.71 |         4:05:00 |     5     0     2  71.4 |
|     INJ/USDT |         2 |           2.01 |           4.01 |           380.358 |           3.80 |         6:25:00 |     2     0     0   100 |
|     GTC/USDT |         2 |           2.00 |           4.01 |           377.556 |           3.78 |         3:38:00 |     2     0     0   100 |
|     C98/USDT |         2 |           2.02 |           4.03 |           374.651 |           3.75 |         2:35:00 |     2     0     0   100 |
|     CHZ/USDT |         4 |           0.99 |           3.95 |           373.531 |           3.74 |         1:20:00 |     3     0     1  75.0 |
|     BEL/USDT |         2 |           2.00 |           4.01 |           367.110 |           3.67 |         3:10:00 |     2     0     0   100 |
|    KLAY/USDT |         2 |           2.00 |           4.00 |           351.560 |           3.52 |         1:10:00 |     2     0     0   100 |
|     NKN/USDT |         2 |           2.00 |           4.00 |           348.025 |           3.48 |         4:05:00 |     2     0     0   100 |
|   MATIC/USDT |         4 |           0.99 |           3.97 |           340.574 |           3.41 |         6:30:00 |     3     0     1  75.0 |
|  BTCDOM/USDT |         2 |           1.90 |           3.79 |           315.457 |           3.15 |         5:25:00 |     2     0     0   100 |
|     SFP/USDT |         4 |           0.74 |           2.97 |           281.754 |           2.82 |         1:00:00 |     3     0     1  75.0 |
|     KSM/USDT |         1 |           2.01 |           2.01 |           208.313 |           2.08 | 1 day, 21:45:00 |     1     0     0   100 |
|     CVX/USDT |         1 |           1.99 |           1.99 |           201.719 |           2.02 |         6:40:00 |     1     0     0   100 |
|     RSR/USDT |         3 |           0.66 |           1.97 |           195.784 |           1.96 |         1:55:00 |     2     0     1  66.7 |
|     YFI/USDT |         1 |           2.02 |           2.02 |           191.432 |           1.91 |        14:45:00 |     1     0     0   100 |
|    HBAR/USDT |         1 |           1.99 |           1.99 |           190.611 |           1.91 |         1:30:00 |     1     0     0   100 |
|     IMX/USDT |         1 |           2.00 |           2.00 |           190.040 |           1.90 |         2:55:00 |     1     0     0   100 |
|     TRB/USDT |         1 |           2.00 |           2.00 |           189.897 |           1.90 |         5:10:00 |     1     0     0   100 |
|      OP/USDT |         3 |           0.65 |           1.95 |           189.266 |           1.89 |         0:32:00 |     2     0     1  66.7 |
|     LPT/USDT |         1 |           2.00 |           2.00 |           173.818 |           1.74 |         3:50:00 |     1     0     0   100 |
|    CELO/USDT |         1 |           2.00 |           2.00 |           172.604 |           1.73 |         0:20:00 |     1     0     0   100 |
|     REN/USDT |         1 |           2.00 |           2.00 |           172.146 |           1.72 |         0:05:00 |     1     0     0   100 |
|     ANT/USDT |         1 |           2.00 |           2.00 |           171.859 |           1.72 |         0:50:00 |     1     0     0   100 |
|    REEF/USDT |         7 |           0.27 |           1.92 |           171.823 |           1.72 |         5:04:00 |     4     0     3  57.1 |
|    BAND/USDT |         1 |           2.00 |           2.00 |           169.434 |           1.69 |         4:50:00 |     1     0     0   100 |
|     XLM/USDT |         1 |           2.00 |           2.00 |           168.211 |           1.68 |         0:50:00 |     1     0     0   100 |
|     MTL/USDT |         1 |           2.00 |           2.00 |           167.646 |           1.68 |         0:40:00 |     1     0     0   100 |
|     VET/USDT |         1 |           2.02 |           2.02 |           167.564 |           1.68 |         2:05:00 |     1     0     0   100 |
|    KAVA/USDT |         1 |           2.00 |           2.00 |           167.523 |           1.68 |         0:05:00 |     1     0     0   100 |
|      AR/USDT |         1 |           1.99 |           1.99 |           165.825 |           1.66 |         8:35:00 |     1     0     0   100 |
|    STMX/USDT |         1 |           1.98 |           1.98 |           158.100 |           1.58 |  1 day, 8:05:00 |     1     0     0   100 |
|    UNFI/USDT |         3 |           0.65 |           1.95 |           153.178 |           1.53 |         3:13:00 |     2     0     1  66.7 |
|    TOMO/USDT |         3 |           0.65 |           1.94 |           152.678 |           1.53 |         1:28:00 |     2     0     1  66.7 |
|     ETC/USDT |         3 |           0.68 |           2.03 |           149.452 |           1.49 |        14:48:00 |     2     0     1  66.7 |
|     BTC/USDT |        14 |           0.14 |           1.96 |           125.274 |           1.25 |  1 day, 0:04:00 |     8     0     6  57.1 |
|     HNT/USDT |         2 |           0.01 |           0.03 |            49.463 |           0.49 |         2:25:00 |     1     0     1  50.0 |
|     EOS/USDT |         2 |          -0.02 |          -0.04 |             6.315 |           0.06 |         2:35:00 |     1     0     1  50.0 |
|    IOTA/USDT |         2 |          -0.03 |          -0.05 |             1.991 |           0.02 |        10:12:00 |     1     0     1  50.0 |
|     ENS/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|     ADA/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|     SNX/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|     DOT/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|     APE/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|     FIL/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    AVAX/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    SAND/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    AAVE/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    EGLD/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    GALA/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|     AXS/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    MANA/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|     ZEC/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
