============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|   SPELL/USDT |        20 |           0.18 |           3.63 |            36.258 |           0.36 |         6:33:00 |    11     0     9  55.0 |
|   WAVES/USDT |        28 |           0.12 |           3.49 |            34.826 |           0.35 |         4:04:00 |    15     0    13  53.6 |
|     CHZ/USDT |        28 |           0.12 |           3.47 |            34.702 |           0.35 |         1:37:00 |    15     0    13  53.6 |
|     WOO/USDT |        32 |           0.10 |           3.16 |            31.633 |           0.32 |         2:45:00 |    17     0    15  53.1 |
|     ONE/USDT |         5 |           0.39 |           1.94 |            19.389 |           0.19 |         2:32:00 |     3     0     2  60.0 |
|     BAT/USDT |        11 |           0.16 |           1.80 |            17.997 |           0.18 |         7:16:00 |     6     0     5  54.5 |
|     KSM/USDT |        11 |           0.16 |           1.80 |            17.922 |           0.18 |         7:02:00 |     6     0     5  54.5 |
|   AUDIO/USDT |        13 |           0.13 |           1.73 |            17.299 |           0.17 |         5:21:00 |     7     0     6  53.8 |
|    COTI/USDT |        15 |           0.11 |           1.72 |            17.279 |           0.17 |         4:21:00 |     8     0     7  53.3 |
|     HOT/USDT |        13 |           0.13 |           1.69 |            16.899 |           0.17 |         3:13:00 |     7     0     6  53.8 |
|     GAL/USDT |        17 |           0.10 |           1.67 |            16.710 |           0.17 |         2:26:00 |     9     0     8  52.9 |
|     ICP/USDT |        15 |           0.11 |           1.66 |            16.621 |           0.17 |         6:04:00 |     8     0     7  53.3 |
|    API3/USDT |        15 |           0.11 |           1.65 |            16.470 |           0.16 |         2:56:00 |     8     0     7  53.3 |
|     ANT/USDT |        19 |           0.08 |           1.59 |            15.878 |           0.16 |         3:51:00 |    10     0     9  52.6 |
|     TRB/USDT |        21 |           0.08 |           1.58 |            15.796 |           0.16 |         4:08:00 |    11     0    10  52.4 |
|     SNX/USDT |        27 |           0.06 |           1.57 |            15.707 |           0.16 |         3:00:00 |    14     0    13  51.9 |
|     GMT/USDT |        27 |           0.05 |           1.41 |            14.116 |           0.14 |         4:40:00 |    14     0    13  51.9 |
|     SOL/USDT |        33 |           0.04 |           1.31 |            13.642 |           0.14 |         2:45:00 |    17     0    16  51.5 |
|     DGB/USDT |        12 |           0.00 |           0.03 |             0.331 |           0.00 |         5:32:00 |     6     0     6  50.0 |
|     VET/USDT |        10 |          -0.01 |          -0.09 |            -0.955 |          -0.01 |         3:50:00 |     5     0     5  50.0 |
|    ROSE/USDT |         8 |          -0.02 |          -0.13 |            -1.343 |          -0.01 |         1:49:00 |     4     0     4  50.0 |
|     DAR/USDT |        16 |          -0.01 |          -0.17 |            -1.744 |          -0.02 |         7:53:00 |     8     0     8  50.0 |
|     SKL/USDT |        10 |          -0.02 |          -0.21 |            -2.075 |          -0.02 |         1:11:00 |     5     0     5  50.0 |
|    GALA/USDT |        16 |          -0.02 |          -0.24 |            -2.437 |          -0.02 |         3:02:00 |     8     0     8  50.0 |
|    COMP/USDT |        12 |          -0.02 |          -0.26 |            -2.616 |          -0.03 |         3:13:00 |     6     0     6  50.0 |
|     FIL/USDT |        12 |          -0.03 |          -0.33 |            -3.325 |          -0.03 |         4:33:00 |     6     0     6  50.0 |
| 1000XEC/USDT |        18 |          -0.02 |          -0.39 |            -3.924 |          -0.04 |        10:45:00 |     9     0     9  50.0 |
|    LINK/USDT |        24 |          -0.02 |          -0.52 |            -5.136 |          -0.05 |         5:36:00 |    12     0    12  50.0 |
|    MASK/USDT |        22 |          -0.03 |          -0.62 |            -6.131 |          -0.06 |         1:36:00 |    11     0    11  50.0 |
|     APE/USDT |        28 |          -0.02 |          -0.64 |            -6.256 |          -0.06 |         2:53:00 |    14     0    14  50.0 |
|     CRV/USDT |        20 |          -0.04 |          -0.74 |            -7.350 |          -0.07 |         3:28:00 |    10     0    10  50.0 |
|   SUSHI/USDT |        28 |          -0.03 |          -0.75 |            -7.513 |          -0.08 |         2:20:00 |    14     0    14  50.0 |
|     RLC/USDT |        18 |          -0.11 |          -2.04 |           -20.416 |          -0.20 |         4:46:00 |     9     0     9  50.0 |
|     CHR/USDT |        11 |          -0.20 |          -2.24 |           -22.458 |          -0.22 |         2:59:00 |     5     0     6  45.5 |
|   STORJ/USDT |        11 |          -0.21 |          -2.26 |           -22.559 |          -0.23 |         2:51:00 |     5     0     6  45.5 |
|     ZEC/USDT |        15 |          -0.15 |          -2.26 |           -22.609 |          -0.23 |         3:25:00 |     7     0     8  46.7 |
|    AVAX/USDT |        23 |          -0.10 |          -2.31 |           -22.844 |          -0.23 |         5:55:00 |    11     0    12  47.8 |
|    DASH/USDT |        13 |          -0.18 |          -2.33 |           -23.347 |          -0.23 |         5:47:00 |     6     0     7  46.2 |
|     ZIL/USDT |        13 |          -0.18 |          -2.37 |           -23.678 |          -0.24 |         8:20:00 |     6     0     7  46.2 |
|     YFI/USDT |        21 |          -0.12 |          -2.42 |           -23.837 |          -0.24 |         6:24:00 |    10     0    11  47.6 |
|     CTK/USDT |        29 |          -0.10 |          -2.78 |           -27.818 |          -0.28 |         7:41:00 |    14     0    15  48.3 |
|     LIT/USDT |        35 |          -0.08 |          -2.84 |           -28.415 |          -0.28 |         2:08:00 |    17     0    18  48.6 |
|    ANKR/USDT |        13 |          -0.26 |          -3.37 |           -33.681 |          -0.34 |         5:38:00 |     6     0     7  46.2 |
|     XLM/USDT |        23 |          -0.15 |          -3.50 |           -34.992 |          -0.35 |         7:48:00 |    11     0    12  47.8 |
|    QTUM/USDT |         6 |          -0.69 |          -4.15 |           -41.484 |          -0.41 |         3:01:00 |     2     0     4  33.3 |
|    CELR/USDT |        10 |          -0.42 |          -4.15 |           -41.543 |          -0.42 |         4:59:00 |     4     0     6  40.0 |
|     ICX/USDT |         8 |          -0.53 |          -4.20 |           -42.020 |          -0.42 |         9:59:00 |     3     0     5  37.5 |
|    HBAR/USDT |        10 |          -0.43 |          -4.26 |           -42.611 |          -0.43 |         4:46:00 |     4     0     6  40.0 |
|     OMG/USDT |        10 |          -0.43 |          -4.28 |           -42.773 |          -0.43 |         8:34:00 |     4     0     6  40.0 |
|     XTZ/USDT |        10 |          -0.43 |          -4.34 |           -43.380 |          -0.43 |         8:56:00 |     4     0     6  40.0 |
|      AR/USDT |        18 |          -0.24 |          -4.38 |           -43.775 |          -0.44 |         3:45:00 |     8     0    10  44.4 |
|    UNFI/USDT |        18 |          -0.24 |          -4.40 |           -43.964 |          -0.44 |         2:19:00 |     8     0    10  44.4 |
|     HNT/USDT |        28 |          -0.16 |          -4.53 |           -45.170 |          -0.45 |         3:21:00 |    13     0    15  46.4 |
|    LINA/USDT |        20 |          -0.24 |          -4.74 |           -47.329 |          -0.47 |         4:21:00 |     9     0    11  45.0 |
|     NKN/USDT |        20 |          -0.28 |          -5.66 |           -56.593 |          -0.57 |         5:15:00 |     9     0    11  45.0 |
|   ALICE/USDT |         9 |          -0.69 |          -6.22 |           -62.194 |          -0.62 |         5:36:00 |     3     0     6  33.3 |
|     GRT/USDT |        11 |          -0.57 |          -6.32 |           -63.162 |          -0.63 |         5:07:00 |     4     0     7  36.4 |
|     ATA/USDT |        27 |          -0.23 |          -6.32 |           -63.196 |          -0.63 |         3:00:00 |    12     0    15  44.4 |
|   MATIC/USDT |        17 |          -0.37 |          -6.37 |           -63.599 |          -0.64 |         3:01:00 |     7     0    10  41.2 |
|     XMR/USDT |        23 |          -0.28 |          -6.52 |           -65.228 |          -0.65 |        14:34:00 |    10     0    13  43.5 |
|     LTC/USDT |        35 |          -0.19 |          -6.76 |           -67.653 |          -0.68 |         5:07:00 |    16     0    19  45.7 |
|    FLOW/USDT |        14 |          -0.59 |          -8.25 |           -82.469 |          -0.82 |         5:49:00 |     5     0     9  35.7 |
|     MTL/USDT |        16 |          -0.52 |          -8.33 |           -83.279 |          -0.83 |         6:41:00 |     6     0    10  37.5 |
|    IOTA/USDT |        18 |          -0.47 |          -8.38 |           -83.815 |          -0.84 |         9:12:00 |     7     0    11  38.9 |
|    DYDX/USDT |        36 |          -0.24 |          -8.51 |           -85.116 |          -0.85 |         1:19:00 |    16     0    20  44.4 |
|   JASMY/USDT |        24 |          -0.36 |          -8.53 |           -85.224 |          -0.85 |         2:20:00 |    10     0    14  41.7 |
|     DOT/USDT |        22 |          -0.39 |          -8.64 |           -86.347 |          -0.86 |         7:17:00 |     9     0    13  40.9 |
|     UNI/USDT |        23 |          -0.46 |         -10.49 |          -104.708 |          -1.05 |         4:03:00 |     9     0    14  39.1 |
|    KLAY/USDT |        23 |          -0.46 |         -10.66 |          -106.612 |          -1.07 |         1:53:00 |     9     0    14  39.1 |
|     ADA/USDT |        16 |          -0.78 |         -12.41 |          -124.143 |          -1.24 |         1:55:00 |     5     0    11  31.2 |
|    BAKE/USDT |        18 |          -0.70 |         -12.53 |          -125.254 |          -1.25 |         3:17:00 |     6     0    12  33.3 |
|     AXS/USDT |        13 |          -1.09 |         -14.14 |          -140.804 |          -1.41 |         6:16:00 |     3     0    10  23.1 |
|     BAL/USDT |        15 |          -0.96 |         -14.39 |          -143.923 |          -1.44 |         2:47:00 |     4     0    11  26.7 |
|     ENS/USDT |        23 |          -0.63 |         -14.53 |          -145.171 |          -1.45 |         3:22:00 |     8     0    15  34.8 |
|   LUNA2/USDT |        29 |          -0.51 |         -14.70 |          -146.817 |          -1.47 |         4:34:00 |    11     0    18  37.9 |
|     EOS/USDT |        18 |          -0.89 |         -16.03 |          -160.273 |          -1.60 |         8:31:00 |     5     0    13  27.8 |
|     GTC/USDT |        22 |          -0.75 |         -16.51 |          -165.112 |          -1.65 |         1:30:00 |     7     0    15  31.8 |
|   1INCH/USDT |        26 |          -0.64 |         -16.72 |          -167.122 |          -1.67 |         7:22:00 |     9     0    17  34.6 |
|     MKR/USDT |        44 |          -0.38 |         -16.90 |          -168.892 |          -1.69 |         5:12:00 |    18     0    26  40.9 |
|     ENJ/USDT |        15 |          -1.23 |         -18.43 |          -184.297 |          -1.84 |         5:12:00 |     3     0    12  20.0 |
|     LRC/USDT |        13 |          -1.42 |         -18.44 |          -184.380 |          -1.84 |         4:57:00 |     2     0    11  15.4 |
|     XRP/USDT |        31 |          -0.60 |         -18.71 |          -187.126 |          -1.87 |         5:34:00 |    11     0    20  35.5 |
|     BCH/USDT |        22 |          -0.90 |         -19.75 |          -197.487 |          -1.97 |         6:32:00 |     6     0    16  27.3 |
|     ETC/USDT |        24 |          -0.86 |         -20.73 |          -207.286 |          -2.07 |         2:50:00 |     7     0    17  29.2 |
|     BNX/USDT |        41 |          -0.51 |         -21.04 |          -208.673 |          -2.09 |        13:32:00 |    16     0    25  39.0 |
|     ETH/USDT |        27 |          -0.99 |         -26.80 |          -267.839 |          -2.68 |         7:45:00 |     7     0    20  25.9 |
|        TOTAL |      2614 |           0.03 |          77.72 |           778.174 |           7.78 |         5:19:00 |  1342     0  1272  51.3 |
=========================================================== ENTER TAG STATS ===========================================================
|   TAG |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------+-----------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
| TOTAL |      2614 |           0.03 |          77.72 |           778.174 |           7.78 |        5:19:00 |  1342     0  1272  51.3 |
===================================================== EXIT REASON STATS =====================================================
|   Exit Reason |   Exits |   Win  Draws  Loss  Win% |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|---------------+---------+--------------------------+----------------+----------------+-------------------+----------------|
|           roi |    1333 |   1333     0     0   100 |           2    |        2665.73 |         26637.1   |          19.46 |
|     stop_loss |    1271 |      0     0  1271     0 |          -2.04 |       -2592.64 |        -25905.1   |         -18.92 |
|    force_exit |      10 |      9     0     1  90.0 |           0.46 |           4.62 |            46.239 |           0.03 |
========================================================= LEFT OPEN TRADES REPORT =========================================================
|      Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-----------+-----------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|  BLZ/USDT |         1 |           1.17 |           1.17 |            11.688 |           0.12 |        4:05:00 |     1     0     0   100 |
|  RSR/USDT |         1 |           0.99 |           0.99 |             9.881 |           0.10 |        3:55:00 |     1     0     0   100 |
|  XLM/USDT |         1 |           0.96 |           0.96 |             9.636 |           0.10 |       23:25:00 |     1     0     0   100 |
| ANKR/USDT |         1 |           0.84 |           0.84 |             8.440 |           0.08 |        3:10:00 |     1     0     0   100 |
|  NKN/USDT |         1 |           0.80 |           0.80 |             7.958 |           0.08 |        3:40:00 |     1     0     0   100 |
|  RLC/USDT |         1 |           0.39 |           0.39 |             3.856 |           0.04 |        1:05:00 |     1     0     0   100 |
|  IMX/USDT |         1 |           0.37 |           0.37 |             3.654 |           0.04 |        5:10:00 |     1     0     0   100 |
| TOMO/USDT |         1 |           0.14 |           0.14 |             1.405 |           0.01 |        3:55:00 |     1     0     0   100 |
|  BNX/USDT |         1 |           0.06 |           0.06 |             0.597 |           0.01 |        5:15:00 |     1     0     0   100 |
|  BCH/USDT |         1 |          -1.09 |          -1.09 |           -10.876 |          -0.11 |       17:10:00 |     0     0     1     0 |
|     TOTAL |        10 |           0.46 |           4.62 |            46.239 |           0.46 |        7:05:00 |     9     0     1  90.0 |
================== SUMMARY METRICS ==================
| Metric                      | Value               |
|-----------------------------+---------------------|
| Backtesting from            | 2022-10-01 00:00:00 |
| Backtesting to              | 2022-12-01 00:00:00 |
| Max open trades             | 137                 |
|                             |                     |
| Total/Daily Avg Trades      | 2614 / 42.85        |
| Starting balance            | 10000 USDT          |
| Final balance               | 10778.174 USDT      |
| Absolute profit             | 778.174 USDT        |
| Total profit %              | 7.78%               |
| CAGR %                      | 56.58%              |
| Profit factor               | 1.03                |
| Trades per day              | 42.85               |
| Avg. daily profit %         | 0.13%               |
| Avg. stake amount           | 999.224 USDT        |
| Total trade volume          | 2611971.717 USDT    |
|                             |                     |
| Long / Short                | 1224 / 1390         |
| Total profit Long %         | -2.59%              |
| Total profit Short %        | 10.37%              |
| Absolute profit Long        | -258.827 USDT       |
| Absolute profit Short       | 1037.001 USDT       |
|                             |                     |
| Best Pair                   | FTM/USDT 27.84%     |
| Worst Pair                  | ETH/USDT -26.80%    |
| Best trade                  | CELO/USDT 2.75%     |
| Worst trade                 | BTCDOM/USDT -2.74%  |
| Best day                    | 527.991 USDT        |
| Worst day                   | -477.479 USDT       |
| Days win/draw/lose          | 32 / 0 / 30         |
| Avg. Duration Winners       | 5:22:00             |
| Avg. Duration Loser         | 5:14:00             |
| Rejected Entry signals      | 0                   |
| Entry/Exit Timeouts         | 0 / 0               |
|                             |                     |
| Min balance                 | 9679.263 USDT       |
| Max balance                 | 11307.409 USDT      |
| Max % of account underwater | 14.22%              |
| Absolute Drawdown (Account) | 14.22%              |
| Absolute Drawdown           | 1608.298 USDT       |
| Drawdown high               | 1307.409 USDT       |
| Drawdown low                | -300.889 USDT       |
| Drawdown Start              | 2022-10-21 12:10:00 |
| Drawdown End                | 2022-11-09 15:30:00 |
| Market change               | -15.73%             |
=====================================================
