============================================================= BACKTESTING REPORT =============================================================
|        Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|    OMG/USDT |         5 |           0.79 |           3.95 |             3.947 |           0.39 |         6:51:00 |     4     0     1  80.0 |
|    TRB/USDT |        29 |           0.13 |           3.81 |             3.747 |           0.37 |         3:15:00 |    20     0     9  69.0 |
|    HNT/USDT |        20 |           0.18 |           3.63 |             3.667 |           0.37 |         7:46:00 |    14     0     6  70.0 |
|    VET/USDT |         5 |           0.80 |           3.99 |             3.636 |           0.36 |        10:53:00 |     4     0     1  80.0 |
|    SKL/USDT |         5 |           0.79 |           3.95 |             3.549 |           0.35 |         4:15:00 |     4     0     1  80.0 |
|   AVAX/USDT |        11 |           0.34 |           3.75 |             3.473 |           0.35 |         9:03:00 |     8     0     3  72.7 |
|  THETA/USDT |         9 |           0.35 |           3.13 |             3.339 |           0.33 |        11:21:00 |     6     0     3  66.7 |
|    LPT/USDT |        10 |           0.19 |           1.93 |             3.332 |           0.33 |         5:00:00 |     7     0     3  70.0 |
|   COMP/USDT |        11 |           0.35 |           3.85 |             2.862 |           0.29 |         8:24:00 |     8     0     3  72.7 |
|   LINA/USDT |         4 |           0.50 |           2.01 |             2.503 |           0.25 |         6:28:00 |     3     0     1  75.0 |
|    WOO/USDT |        10 |           0.19 |           1.88 |             2.440 |           0.24 |         5:44:00 |     7     0     3  70.0 |
|    LRC/USDT |         4 |           0.49 |           1.96 |             2.384 |           0.24 |         6:42:00 |     3     0     1  75.0 |
|    ATA/USDT |        10 |           0.18 |           1.80 |             2.289 |           0.23 |         4:40:00 |     7     0     3  70.0 |
|  ALPHA/USDT |         4 |           0.49 |           1.96 |             2.217 |           0.22 |         4:14:00 |     3     0     1  75.0 |
|  SUSHI/USDT |        13 |           0.13 |           1.65 |             2.202 |           0.22 |         4:52:00 |     9     0     4  69.2 |
|   BAKE/USDT |        10 |           0.18 |           1.84 |             2.168 |           0.22 |         5:34:00 |     7     0     3  70.0 |
|    BNX/USDT |        19 |           0.07 |           1.31 |             1.920 |           0.19 |  1 day, 6:30:00 |    13     0     6  68.4 |
|   AAVE/USDT |        13 |           0.14 |           1.84 |             1.392 |           0.14 |         6:13:00 |     9     0     4  69.2 |
|   ATOM/USDT |        15 |          -0.01 |          -0.13 |             1.282 |           0.13 |         8:44:00 |    10     0     5  66.7 |
|    ADA/USDT |        14 |           0.11 |           1.49 |             1.089 |           0.11 |        10:50:00 |     9     0     5  64.3 |
|    NEO/USDT |         6 |          -0.00 |          -0.03 |             0.974 |           0.10 |         9:28:00 |     4     0     2  66.7 |
|    EOS/USDT |        13 |           0.14 |           1.83 |             0.969 |           0.10 |         8:03:00 |     9     0     4  69.2 |
|    ONT/USDT |         9 |          -0.02 |          -0.15 |             0.931 |           0.09 |        11:38:00 |     6     0     3  66.7 |
|   KAVA/USDT |        16 |           0.12 |           1.85 |             0.363 |           0.04 |         6:51:00 |    11     0     5  68.8 |
|    BAT/USDT |         6 |          -0.02 |          -0.13 |             0.236 |           0.02 |         6:13:00 |     4     0     2  66.7 |
|   IOTA/USDT |         3 |          -0.02 |          -0.07 |             0.136 |           0.01 |        11:07:00 |     2     0     1  66.7 |
|    GAL/USDT |        15 |          -0.02 |          -0.25 |            -0.006 |          -0.00 |         3:52:00 |    10     0     5  66.7 |
|   HBAR/USDT |        12 |          -0.01 |          -0.17 |            -0.008 |          -0.00 |         5:52:00 |     8     0     4  66.7 |
|    XMR/USDT |        23 |          -0.01 |          -0.15 |            -0.189 |          -0.02 |        23:14:00 |    15     0     8  65.2 |
|   REEF/USDT |         3 |          -0.01 |          -0.04 |            -0.585 |          -0.06 |         2:33:00 |     2     0     1  66.7 |
|    GRT/USDT |        12 |          -0.01 |          -0.15 |            -0.829 |          -0.08 |         6:50:00 |     8     0     4  66.7 |
|   BAND/USDT |        14 |          -0.15 |          -2.14 |            -0.954 |          -0.10 |         8:04:00 |     9     0     5  64.3 |
|    ZEC/USDT |         9 |          -0.01 |          -0.07 |            -0.965 |          -0.10 |         9:44:00 |     6     0     3  66.7 |
|    UNI/USDT |        12 |          -0.02 |          -0.19 |            -1.106 |          -0.11 |         6:24:00 |     8     0     4  66.7 |
|    CHZ/USDT |        18 |          -0.02 |          -0.33 |            -1.244 |          -0.12 |         6:06:00 |    12     0     6  66.7 |
|   UNFI/USDT |        18 |          -0.01 |          -0.25 |            -1.437 |          -0.14 |         2:17:00 |    12     0     6  66.7 |
|  AUDIO/USDT |         2 |          -1.00 |          -1.99 |            -1.801 |          -0.18 |        10:55:00 |     1     0     1  50.0 |
|  MATIC/USDT |        18 |          -0.01 |          -0.25 |            -2.023 |          -0.20 |         4:29:00 |    12     0     6  66.7 |
|    ENS/USDT |        20 |          -0.11 |          -2.28 |            -2.060 |          -0.21 |         2:58:00 |    13     0     7  65.0 |
|   KLAY/USDT |        11 |          -0.20 |          -2.19 |            -2.393 |          -0.24 |        15:52:00 |     7     0     4  63.6 |
|     AR/USDT |        13 |          -0.32 |          -4.19 |            -2.702 |          -0.27 |         7:34:00 |     8     0     5  61.5 |
|    ONE/USDT |         8 |          -0.27 |          -2.12 |            -3.027 |          -0.30 |         6:32:00 |     5     0     3  62.5 |
|   EGLD/USDT |        14 |          -0.16 |          -2.28 |            -3.189 |          -0.32 |         8:39:00 |     9     0     5  64.3 |
|    KSM/USDT |        11 |          -0.23 |          -2.54 |            -3.559 |          -0.36 |        12:33:00 |     7     0     4  63.6 |
|    RVN/USDT |         7 |          -0.59 |          -4.11 |            -3.795 |          -0.38 |         6:52:00 |     4     0     3  57.1 |
|    ANT/USDT |        19 |          -0.23 |          -4.41 |            -4.220 |          -0.42 |         6:50:00 |    12     0     7  63.2 |
|   RUNE/USDT |        10 |          -0.42 |          -4.15 |            -4.278 |          -0.43 |         9:22:00 |     6     0     4  60.0 |
|     OP/USDT |        26 |          -0.09 |          -2.29 |            -4.321 |          -0.43 |         4:21:00 |    17     0     9  65.4 |
| BTCDOM/USDT |        12 |          -0.41 |          -4.86 |            -4.999 |          -0.50 | 2 days, 3:45:00 |     7     0     5  58.3 |
|   CTSI/USDT |         6 |          -1.03 |          -6.19 |            -5.380 |          -0.54 |         4:22:00 |     3     0     3  50.0 |
