,date,ticker,open,high,low,close
0,2024-06-19T00:00:00.000Z,xauusd,2328.36,2329.77,2328.3,2329.14
1,2024-06-19T00:05:00.000Z,xauusd,2329.01,2329.74,2328.97,2329.47
2,2024-06-19T00:10:00.000Z,xauusd,2329.47,2329.8,2329.23,2329.64
3,2024-06-19T00:15:00.000Z,xauusd,2329.63,2329.92,2329.31,2329.32
4,2024-06-19T00:20:00.000Z,xauusd,2329.33,2329.9,2329.0,2329.22
5,2024-06-19T00:25:00.000Z,xauusd,2329.02,2329.1,2328.23,2328.23
6,2024-06-19T00:30:00.000Z,xauusd,2328.25,2328.69,2328.15,2328.41
7,2024-06-19T00:35:00.000Z,xauusd,2328.4,2329.63,2328.37,2329.17
8,2024-06-19T00:40:00.000Z,xauusd,2329.2,2329.24,2328.93,2328.93
9,2024-06-19T00:45:00.000Z,xauusd,2328.89,2329.69,2328.73,2329.22
10,2024-06-19T00:50:00.000Z,xauusd,2329.23,2329.85,2329.07,2329.57
11,2024-06-19T00:55:00.000Z,xauusd,2329.59,2330.06,2329.32,2329.68
12,2024-06-19T01:00:00.000Z,xauusd,2329.68,2329.91,2328.89,2329.84
13,2024-06-19T01:05:00.000Z,xauusd,2329.85,2329.86,2327.28,2327.48
14,2024-06-19T01:10:00.000Z,xauusd,2327.5,2327.7,2326.55,2327.12
15,2024-06-19T01:15:00.000Z,xauusd,2327.09,2328.09,2327.08,2327.98
16,2024-06-19T01:20:00.000Z,xauusd,2327.98,2327.98,2327.06,2327.07
17,2024-06-19T01:25:00.000Z,xauusd,2327.06,2328.79,2326.73,2328.5
18,2024-06-19T01:30:00.000Z,xauusd,2328.48,2329.24,2328.16,2329.15
19,2024-06-19T01:35:00.000Z,xauusd,2329.19,2329.25,2328.48,2329.06
20,2024-06-19T01:40:00.000Z,xauusd,2329.05,2330.02,2328.65,2329.86
21,2024-06-19T01:45:00.000Z,xauusd,2329.68,2330.81,2329.6,2330.37
22,2024-06-19T01:50:00.000Z,xauusd,2330.32,2330.93,2329.97,2330.6
23,2024-06-19T01:55:00.000Z,xauusd,2330.59,2330.99,2329.88,2330.16
24,2024-06-19T02:00:00.000Z,xauusd,2330.16,2330.48,2329.82,2330.18
25,2024-06-19T02:05:00.000Z,xauusd,2330.18,2330.18,2328.95,2329.37
26,2024-06-19T02:10:00.000Z,xauusd,2329.35,2330.31,2329.24,2329.87
27,2024-06-19T02:15:00.000Z,xauusd,2329.86,2330.22,2329.31,2329.77
